,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
0,MAF-45,10.0,1523,58.0,0.79,15.26,7.72,1.88,5.43,3.52,1.73,0.36,7.3,1265,-8.87,,,,,,,,1249.85
1,MAF-38,10.0,1523,58.3,0.82,15.39,7.66,1.88,5.42,3.65,1.87,0.37,4.6,1167,-8.87,,,,,,,,1249.85
2,MAF-36,10.0,1523,58.5,0.78,15.42,7.65,1.9,5.41,3.74,1.92,0.38,4.1,1094,-8.87,,,,,,,,1249.85
3,MAF-32,10.0,1523,58.9,0.8,15.62,7.86,1.92,5.54,3.97,1.97,0.38,4.4,776,-8.87,,,,,,,,1249.85
4,MAF-28,10.0,1523,59.1,0.8,15.91,8.51,1.97,5.67,4.06,1.97,0.39,0.0,707,-8.87,,,,,,,,1249.85
5,MAF-34,10.0,1523,59.0,0.79,15.64,7.83,1.93,5.54,3.91,1.94,0.38,2.1,615,-8.87,,,,,,,,1249.85
6,MAF-44,10.0,1523,72.6,0.1,12.32,0.97,0.0,0.97,0.08,0.06,0.0,4.2,595,-8.87,,,,,,,,1249.85
7,MAF-39,10.0,1523,73.9,0.1,12.56,0.81,0.0,0.81,0.08,0.07,0.0,3.4,480,-8.87,,,,,,,,1249.85
8,MAF-31,10.0,1523,75.3,0.11,12.87,0.67,0.0,0.67,0.07,0.06,0.0,0.0,222,-8.87,,,,,,,,1249.85
9,MAF-33,10.0,1523,75.0,0.11,12.8,0.85,0.0,0.85,0.07,0.07,0.0,0.0,181,-8.87,,,,,,,,1249.85
10,MAF-27,10.0,1523,75.7,0.12,12.94,0.67,0.0,0.67,0.09,0.06,0.0,0.0,181,-8.87,,,,,,,,1249.85
11,MAF-35,10.0,1523,75.7,0.12,13.0,0.59,0.0,0.59,0.07,0.07,0.0,0.0,143,-8.87,,,,,,,,1249.85
12,MAF-12,10.0,1523,49.6,1.33,14.9,8.08,8.59,11.29,2.25,0.09,0.09,5.9,1765,-8.87,,,,,,,,1249.85
13,MAF-15,10.0,1523,48.9,1.31,14.7,9.59,8.79,11.28,2.32,0.09,0.1,2.8,1409,-8.87,,,,,,,,1249.85
14,MAF-9,10.0,1523,50.2,1.26,15.4,9.03,9.05,11.5,2.39,0.1,0.1,2.6,1248,-8.87,,,,,,,,1249.85
15,MAF-7,10.0,1523,49.8,1.31,15.8,10.1,8.58,11.24,2.48,0.09,0.11,0.7,1246,-8.87,,,,,,,,1249.85
16,MAF-19,10.0,1523,49.7,1.41,16.1,10.3,7.85,10.85,2.65,0.1,0.11,0.0,1218,-8.87,,,,,,,,1249.85
17,MAF-4,10.0,1523,49.9,1.38,16.6,10.5,7.77,10.79,2.71,0.12,0.12,0.9,1180,-8.87,,,,,,,,1249.85
18,GS-13,10.0,1723,48.4,2.65,16.0,7.57,6.06,11.19,2.45,1.01,0.68,0.0,2800,-7.34,,,,,,,,1449.85
19,GS-17,10.0,1723,49.9,2.72,16.51,6.42,6.65,11.7,3.21,0.95,0.73,0.0,2060,-7.34,,,,,,,,1449.85
20,GS-2,10.0,1673,51.6,2.87,17.0,1.42,6.85,12.58,3.43,1.04,0.73,0.0,1770,-7.68,,,,,,,,1399.85
21,GS-15,10.0,1573,49.9,2.72,16.32,6.91,6.75,11.84,3.12,0.9,0.7,0.0,1490,-8.43,,,,,,,,1299.85
22,GS-18,10.0,1573,49.4,2.75,16.13,5.87,6.65,11.59,2.99,0.95,0.68,0.0,1460,-8.43,,,,,,,,1299.85
23,GS-3,10.0,1673,52.6,2.8,17.35,0.1,6.79,12.86,3.25,0.95,0.75,0.0,1240,-7.68,,,,,,,,1399.85
24,STE-7,10.0,1498,48.8,4.04,17.14,5.39,6.25,10.34,3.57,1.6,1.24,0.0,525,-9.09,,,,,,,,1224.85
25,S8,2.0,1473,45.9,1.58,14.53,10.01,9.61,9.34,3.04,1.72,0.49,1.7,3000,-7.8,,,,,,,,1199.85
26,S2,2.0,1473,47.0,1.63,14.96,9.02,9.85,9.67,3.07,1.77,0.55,1.7,2200,-6.8,,,,,,,,1199.85
27,0_15_2red,1.9300000000000002,1323,46.7,1.67,16.05,7.72,5.56,10.31,3.5,1.84,0.51,5.9,1200,-9.7,,,,,,,,1049.85
28,cent100,0.001,1473,40.0,4.84,8.02,23.42,7.61,10.93,1.78,0.94,0.67,0.0,5136,-7.4,,,,,,,,1199.85
29,cent92,0.001,1473,40.7,4.92,8.19,21.97,8.01,11.09,1.58,0.89,0.77,0.0,4605,-8.83,,,,,,,,1199.85
30,cent91,0.001,1473,42.6,5.31,8.58,18.61,7.61,11.89,1.49,0.77,0.83,0.0,3798,-9.25,,,,,,,,1199.85
31,cent108,0.002,1473,44.7,5.09,8.48,17.84,8.94,11.34,1.49,0.77,0.51,0.0,3349,-7.83,,,,,,,,1199.85
32,Ir1e,9.0,1573,46.6,1.49,12.63,21.13,7.06,8.33,2.42,0.0,0.0,0.0,3089,-8.56,,,,,,,,1299.85
33,cent81,0.001,1473,45.6,5.26,8.56,15.85,8.93,11.72,1.46,0.68,0.86,0.0,2932,-9.51,,,,,,,,1199.85
34,Hpsulf7e,9.0,1473,46.4,1.77,13.72,21.32,5.05,8.44,2.88,0.0,0.0,0.0,2820,-9.49,,,,,,,,1199.85
35,cent98,0.001,1473,46.5,5.39,8.57,13.79,8.74,11.91,1.63,1.01,0.71,0.0,2716,-9.65,,,,,,,,1199.85
36,cent83,0.001,1473,48.4,5.56,8.75,11.78,9.19,11.96,1.59,0.93,0.87,0.0,2267,-8.45,,,,,,,,1199.85
37,cent87,0.001,1473,47.5,5.56,8.89,11.27,9.51,12.09,1.78,1.07,0.83,0.0,2104,-8.46,,,,,,,,1199.85
38,fO2#4e,0.001,1473,50.7,1.79,14.93,11.94,9.06,9.45,1.87,0.0,0.0,0.0,1947,-8.5,,,,,,,,1199.85
39,Hpsulf26e,15.0,1523,47.7,1.59,13.48,18.96,5.69,8.12,0.13,0.0,0.0,0.0,1916,-8.2,,,,,,,,1249.85
40,Hpsulf27e,15.0,1473,48.6,1.68,14.22,17.56,4.75,7.89,1.98,0.0,0.0,0.0,1797,-8.53,,,,,,,,1199.85
