,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
0,FeS,10,1523,51.28483333333333,0.8949166666666666,17.13183333333333,7.131499999999998,7.1948333333333325,10.686333333333335,2.576166666666666,0.8335,,0.0,1398.0,,,,,,,,,1249.85
1,Fe90,10,1523,50.99127272727273,0.7075454545454546,16.853636363636365,8.508454545454544,7.081,10.34909090909091,2.506181818181818,0.8354545454545454,,0.0,1328.0,,,,,,,,,1249.85
2,Fe80,10,1523,49.59566666666666,1.106,17.333000000000002,6.882083333333334,7.231249999999999,10.566916666666668,2.532916666666667,0.7966666666666669,,0.0,1137.0,,,,,,,,,1249.85
3,Fe70,10,1523,51.530499999999996,0.7252499999999998,16.872125,6.8095,7.04375,10.456624999999999,2.497,0.7927500000000001,,0.0,1019.5,,,,,,,,,1249.85
4,Fe50,10,1523,52.64233333333333,0.7545833333333333,17.42675,5.821166666666666,7.214833333333335,10.481083333333332,2.59875,0.8239166666666667,,0.0,775.6666666666666,,,,,,,,,1249.85
5,4H,10,1523,51.974666666666664,1.1605555555555556,17.166222222222224,4.430888888888889,7.329888888888888,10.61188888888889,2.4992222222222225,0.8527777777777777,,3.21,1401.7777777777778,,,,,,,,,1249.85
6,3H,10,1523,51.76850000000001,1.167,17.957375,3.0608750000000002,7.485625000000001,10.93525,2.55825,0.9035,,2.72,1355.0,,,,,,,,,1249.85
7,2H,10,1523,52.32814285714285,1.1648571428571428,18.371285714285712,2.337,7.594571428571428,11.14357142857143,2.8251428571428576,0.9772857142857143,,1.7,1255.4285714285713,,,,,,,,,1249.85
8,1H,10,1523,52.245,1.0876666666666666,17.281333333333333,5.969333333333334,7.173500000000001,10.443,2.5046666666666666,0.8055,,1.21,1150.6666666666667,,,,,,,,,1249.85
9,0H,10,1523,52.733,1.0957272727272727,17.332545454545457,5.901,7.1984545454545446,10.51009090909091,2.5489090909090915,0.7910909090909091,,0.0,1052.7272727272727,,,,,,,,,1249.85
10,24h,10,1523,50.342999999999996,1.0919999999999999,17.293750000000003,5.921666666666667,7.205333333333333,10.508750000000001,2.5398333333333336,0.7952500000000001,,0.0,1069.3333333333333,,,,,,,,,1249.85
11,6h,10,1523,49.885999999999996,1.1513333333333333,17.900000000000002,5.205666666666667,7.326999999999999,10.712333333333333,2.5184999999999995,0.8115,,0.0,1061.3333333333333,,,,,,,,,1249.85
12,3h,10,1523,49.59566666666666,1.106,17.333000000000002,6.882083333333334,7.231249999999999,10.566916666666668,2.532916666666667,0.7966666666666669,,0.0,1137.0,,,,,,,,,1249.85
13,1400FeS,25,1673,48.90677777777777,1.0683333333333336,15.873666666666663,10.260444444444445,6.9497777777777765,9.815777777777779,2.3137777777777777,0.7313333333333334,,0.0,1879.5555555555557,,,,,,,,,1399.85
14,1400Fe90,25,1673,47.544124999999994,1.034,15.851125,10.109625,6.869125,9.73625,2.29575,0.7266250000000002,,0.0,1803.5,,,,,,,,,1399.85
15,1400Fe80,25,1673,50.06233333333333,1.1273333333333333,16.836166666666667,9.381166666666667,7.135333333333333,10.318,2.4903333333333335,0.774,,0.0,1488.0,,,,,,,,,1399.85
16,1400Fe70,25,1673,48.14988,1.05438,15.85025,9.46738,6.812,9.68025,2.3735,0.76037,,0.0,1390.0,,,,,,,,,1399.85
