,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
0,AND-15,2.0,1123.15,65.79829491066947,0.46582676225391306,18.936878744470498,1.6260611071359012,0.24950020121869182,1.6961547764276441,5.017830242781398,6.05573482859605,,7.324896999999993,423.1008565149718,,,,,,,,,850.0000000000001
1,AND-13,2.02,1173.15,63.915131774819905,0.43452801093347987,19.61293529329705,1.7137672019149963,0.7961047147295667,2.759542488242844,5.693032737636393,4.8701917981675535,,5.746696999999994,910.7840396207758,,,,,,,,,900.0000000000001
2,AND-16,2.02,1173.15,63.87034155578967,0.47799002413357927,19.56160176264753,1.8341621338662304,0.6516514552001559,2.9971399469559947,5.610474097992842,4.798859233612536,,6.357239833333332,830.6923996723896,,,,,,,,,900.0000000000001
3,AND-18,1.95,1223.15,60.19212031931483,0.8809982207344332,19.12821433418557,3.315834585741143,1.4744584171780868,5.232112300151011,5.59930360700522,3.7021105610307794,,7.397259875000002,1858.8585500225,,,,,,,,,950.0000000000001
4,AND-23,1.99,1273.15,56.49410392460286,0.9054512062100027,19.446544279551564,4.435599491105969,2.381835479328305,7.652728614463332,4.900628762695556,2.9798508655492704,,6.820073416666666,2787.5661461111113,,,,,,,,,1000.0000000000001
5,AND-7,2.0,1123.15,64.71,0.67,19.51,1.64,0.48,2.28,4.81,5.76,,7.573925,520.5795299486581,,,,,,,,,850.0000000000001
6,AND-10,2.0,1123.15,65.21848974684174,0.6149441330099473,19.560685070938913,1.4504895415402896,0.43449873480355633,2.4922409841859605,4.696350863864034,5.393285986299654,,7.1043,626.832297518467,,,,,,,,,850.0000000000001
7,AND-8,2.02,1173.15,62.80909867056882,0.5788087123251413,19.793667476321716,1.9760757991490612,0.7126499880697832,3.525079619974802,5.833065881881911,4.504099487650981,,6.649538727272729,1121.0568910089585,,,,,,,,,900.0000000000001
8,AND-12,2.02,1173.15,63.983466055454734,0.479804906156538,19.652165107389408,1.8168698848875287,0.8157870131207736,2.7487930570272403,5.363222404674935,4.906888287799058,,5.892745500000007,963.4859970492491,,,,,,,,,900.0000000000001
9,AND-9,1.7,1223.15,62.01337552157191,0.6412670024017953,19.28712289747857,2.459951859475692,1.154972326411574,4.5795782392673985,5.506428615505082,3.9862993031021055,,6.030266000000001,1390.30236423862,,,,,,,,,950.0000000000001
10,AND-11,1.7,1223.15,62.020557582509106,0.6285311528901871,19.175323419034193,2.384905433380119,1.2791085587298716,4.579311271563177,5.629781369478966,3.9381308866942093,,6.562357625000004,1490.3782438223961,,,,,,,,,950.0000000000001
11,AND-19,2.02,1223.15,62.35027868084509,0.4900813339799019,19.70954272154424,2.0948267972846586,0.9743969989309762,3.4174069627956745,6.0830064923644125,4.600600851403095,,5.116394166666666,1280.36653,,,,,,,,,950.0000000000001
12,AND-24,2.0,1273.15,59.426735129287486,0.7026891333448297,19.133024249041764,3.0432651667144492,1.588317786129432,6.310317537230839,5.686418583527448,3.5230452395165366,,5.519645499999999,2121.3354564999995,,,,,,,,,1000.0000000000001
13,DAC-5,2.0,1123.15,72.31251675769656,0.37914377484694656,16.442290676746616,1.555135844942546,0.5708947250861655,1.6993368803213613,4.465743349754173,2.4901779167855715,,8.313053000000005,264.03871688148917,,,,,,,,,850.0000000000001
14,DAC-13,2.0,1123.15,72.02885952765459,0.394379856914158,16.4781445260417,1.5412141040667897,0.6816364634321583,1.7593026916333805,4.686574728723873,2.3595473693134847,,6.7041287999999986,275.98442887573043,,,,,,,,,850.0000000000001
15,DAC-11,2.0,1173.15,67.84107296866397,0.6489010994950777,17.831084933684465,2.0889784707807926,1.3923622649160847,2.625141773216037,5.36643032974949,1.9765309760283951,,5.679198833333338,703.7265622740549,,,,,,,,,900.0000000000001
16,DAC-14,2.0,1173.15,68.19660261491855,0.6212588347273439,17.665577189863658,2.130080627729603,1.3963794860935363,2.8229803635303994,5.156749323869759,1.8543031317256757,,5.820946499999996,683.3221094326973,,,,,,,,,900.0000000000001
17,DAC-9,1.95,1223.15,65.48566174816024,0.6957729256626888,17.674104328643146,2.701865070968803,1.9632340088286644,3.4007254311101685,6.017924850430264,1.7643352285340446,,5.3998531,1050.9173412554226,,,,,,,,,950.0000000000001
18,DAC-18,2.0,1273.15,66.47613673540182,0.340523818629787,19.917262433967476,0.8055766830104222,0.18495249740233247,4.158396886275022,6.081669720590082,1.718854420033307,,6.497076500000001,1336.1681366666664,,,,,,,,,1000.0000000000001
19,DAC-15,2.02,1223.15,66.88715521218494,0.45796526081274597,17.956437463700134,1.9937947614842164,1.8330888497084994,2.7672644065813885,5.991353760964789,1.8728678943133301,,5.6814344000000006,809.1566708333332,,,,,,,,,950.0000000000001
20,DAC-20,2.0,1273.15,65.051754534349,0.5169563044740062,17.991918336761202,2.3368491391673447,1.9182457245974898,4.372917455095556,5.874994062482663,1.6204709990272153,,4.392396999999999,1183.6036961111115,,,,,,,,,1000.0000000000001
21,RDCT-12,2.0,1073.15,77.23561733084894,0.2613246575296242,12.712381351284343,0.9729295358587269,0.2601367847375053,1.1736919595294368,3.074580143169545,4.280339715995745,,5.331782999999999,69.95225333333335,,,,,,,,,800.0000000000001
22,RDCT-14,2.0,1073.15,76.14338981876857,0.34455537234543243,12.940383204062377,1.2126317132624516,0.33540208669080357,1.5345392214013194,3.1960098673216084,4.0706480556081095,,5.451358272727273,79.136824,,,,,,,,,800.0000000000001
23,RDCT-17,1.7,1123.15,72.76010830393656,0.4231480172243171,14.796300386577643,1.7253233226531437,0.6525963654240416,2.37859723505577,3.650751478382214,3.5636341879605897,,6.593905555555555,182.5566916666667,,,,,,,,,850.0000000000001
24,RDCT-18,1.7,1123.15,74.52740974014995,0.4107611226208509,13.711411410285084,1.5757020097354744,0.5078280207895696,1.7586640230464232,3.468181032480482,3.9446549592364892,,6.245365444444446,144.376645,,,,,,,,,850.0000000000001
25,RDCT-11,1.8,1173.15,73.8500034813877,0.6030255395981954,14.469552602885235,1.3327422963124012,0.33861186544189464,2.158720015014747,3.692559884537582,3.503662185808947,,4.837075733333333,209.89316818181823,,,,,,,,,900.0000000000001
26,RDCT-13,1.8,1173.15,74.57422775938561,0.6003664329413836,13.920599221971655,1.3530914206541087,0.291678963284256,1.6825531771015532,3.649863260732132,3.86415605344359,,4.357978933333333,174.74713666666665,,,,,,,,,900.0000000000001
