,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
0,,0.6,1373.15,55.0525,1.05258,15.97375,6.71375,4.293749999999999,7.12375,3.8387499999999997,0.8495625,,2.75,4817.009282100923,-7.12,,,,,,,,1100.0
1,,1.2,1373.15,52.3028571428571,1.0235672163687,14.611698723947,5.522857142857142,3.825714285714286,10.914285714285715,3.55139971269335,0.7928739876987,,4.25,6121.281538845866,-7.1,,,,,,,,1100.0
2,,2.4,1373.15,51.7922222222222,1.0218634969391,14.9744444444444,6.537777777777777,4.0928927936456,8.652222222222221,3.4516974169849,0.8143163945963,,6.39,7242.8611041718705,-7.05,,,,,,,,1100.0
3,,2.4,1283.15,59.7094285714286,0.6016399438961,15.315142857142858,4.612142857142857,1.5715714285714288,4.694285714285714,3.744428571428571,2.462857142857143,,6.08,2241.1513686163944,-8.34,,,,,,,,1010.0000000000001
4,,0.3,1373.15,53.047375,1.051566,15.370875000000002,6.60175,3.985625,11.931625,3.7548749999999993,0.966122,,1.73,5175.617817886585,-7.13,,,,,,,,1100.0
5,,2.4,1193.15,61.3454285714286,0.5416634899891,15.677142857142856,3.3244285714285717,1.5184285714285717,4.095571428571429,3.8971428571428572,2.5424285714285717,,5.93,1060.2127868384425,-9.52,,,,,,,,920.0000000000001
6,,1.25,1283.15,62.2188,0.6195,16.1359,4.886699999999999,1.6915,4.7817,3.8257999999999996,2.5192,,4.16,1397.3867724206843,-8.24,,,,,,,,1010.0000000000001
7,,0.6,1283.15,63.731500000000004,0.6255833333333334,15.41366666666667,4.722416666666668,1.7050833333333333,4.6285,3.921,2.7279999999999998,,2.6,1160.4838558581066,-8.27,,,,,,,,1010.0000000000001
8,,2.4,1373.15,59.46750000000001,0.5971,15.573500000000001,4.704,1.5686000000000002,7.3108,3.3711,2.2724,,6.11,4210.984386709967,-7.05,,,,,,,,1100.0
9,,2.4,1373.15,45.3646,0.9861000000000001,15.623300000000004,8.7631,6.0117,13.819399999999998,2.4452,0.7139,,6.44,12437.903759680241,-7.05,,,,,,,,1100.0
10,,0.35,1283.15,63.871333333333325,0.6673333333333332,14.952083333333334,5.213583333333333,1.4914166666666666,5.204916666666667,4.079416666666666,2.952,,1.79,1211.5491506370222,-8.28,,,,,,,,1010.0000000000001
11,,2.1,1273.15,74.36445454545456,0.0076363636363636364,13.189090909090908,1.0131668546591,0.0022727272727272726,1.2856363636363637,4.053636363636364,5.335727272727272,,0.89,154.7433175118661,,,,,,,,,1000.0000000000001
12,,2.1,1273.15,73.62230769230769,0.004461538461538461,13.107153846153848,1.0376923076923077,0.0052307692307692315,1.171230769230769,4.053461538461538,5.28676923076923,,1.59,161.7452775802763,,,,,,,,,1000.0000000000001
13,,2.1,1273.15,72.28913333333334,0.0052,12.9086,1.0374,0.004599999999999999,1.2485333333333335,3.9364,5.114533333333332,,3.34,342.57136314430835,-8.83,,,,,,,,1000.0000000000001
14,,2.1,1273.15,71.41866666666668,0.009083333333333334,12.7585,0.9866666666666667,0.0015833333333333333,1.4200833333333334,3.6793333333333336,4.941,,4.69,429.8830044133567,-8.54,,,,,,,,1000.0000000000001
15,,2.0,1273.15,61.54508284914999,0.5164622336991608,18.398967075532603,5.551969012265978,3.5829567462879277,6.2836238433397895,3.33548525930708,0.7854529804174737,,5.5,1901.1049772796744,-8.35,,,,,,,,1000.0000000000001
16,,2.0,1273.15,60.29774017350326,0.6318946128306735,18.74263682124879,6.019063939166755,3.34154439327407,6.7045089429152815,3.3736746278247822,0.8889364892363713,,5.5,1850.102160950762,-8.35,,,,,,,,1000.0000000000001
17,,2.0,1273.15,65.05376344086021,0.5268817204301075,18.709677419354836,3.6989247311827955,2.935483870967742,3.946236559139785,3.6129032258064515,1.5161290322580645,,5.5,1915.1057503895724,-8.35,,,,,,,,1000.0000000000001
18,,2.0,1123.15,65.79829491066947,0.46582676225391306,18.936878744470498,1.6260611071359012,0.24950020121869182,1.6961547764276441,5.017830242781398,6.05573482859605,,7.32,423.12422104782024,-10.72,,,,,,,,850.0000000000001
19,,2.02,1173.15,63.915131774819905,0.43452801093347987,19.61293529329705,1.7137672019149963,0.7961047147295667,2.759542488242844,5.693032737636393,4.8701917981675535,,6.809557142857137,910.8343350604658,-9.86,,,,,,,,900.0000000000001
20,,2.02,1173.15,63.87034155578967,0.47799002413357927,19.56160176264753,1.8341621338662304,0.6516514552001559,2.9971399469559947,5.610474097992842,4.798859233612536,,7.480483333333332,830.738272280682,-9.86,,,,,,,,900.0000000000001
21,,1.95,1223.15,60.19212031931483,0.8809982207344332,19.12821433418557,3.315834585741143,1.4744584171780868,5.232112300151011,5.59930360700522,3.7021105610307794,,8.623362500000002,1858.9612001613116,-9.08,,,,,,,,950.0000000000001
22,,1.99,1273.15,56.49410392460286,0.9054512062100027,19.446544279551564,4.435599491105969,2.381835479328305,7.652728614463332,4.900628762695556,2.9798508655492704,,7.989091666666666,2787.7200814666776,-8.35,,,,,,,,1000.0000000000001
23,,2.0,1123.15,64.71,0.67,19.51,1.64,0.48,2.28,4.81,5.76,,8.817499999999999,520.6082774620239,-7.93,,,,,,,,850.0000000000001
24,,2.0,1123.15,65.21848974684174,0.6149441330099473,19.560685070938913,1.4504895415402896,0.43449873480355633,2.4922409841859605,4.696350863864034,5.393285986299654,,8.301428571428572,626.8669125365658,-7.93,,,,,,,,850.0000000000001
25,,2.02,1173.15,62.80909867056882,0.5788087123251413,19.793667476321716,1.9760757991490612,0.7126499880697832,3.525079619974802,5.833065881881911,4.504099487650981,,7.801690909090911,1121.1187981645496,-6.98,,,,,,,,900.0000000000001
26,,2.02,1173.15,63.983466055454734,0.479804906156538,19.652165107389408,1.8168698848875287,0.8157870131207736,2.7487930570272403,5.363222404674935,4.906888287799058,,6.970050000000008,963.5392028035758,-6.98,,,,,,,,900.0000000000001
27,,1.7,1223.15,62.01337552157191,0.6412670024017953,19.28712289747857,2.459951859475692,1.154972326411574,4.5795782392673985,5.506428615505082,3.9862993031021055,,7.121171428571429,1390.3791397042291,-6.12,,,,,,,,950.0000000000001
28,,1.7,1223.15,62.020557582509106,0.6285311528901871,19.175323419034193,2.384905433380119,1.2791085587298716,4.579311271563177,5.629781369478966,3.9381308866942093,,7.705887500000005,1490.4605456917925,-6.12,,,,,,,,950.0000000000001
29,,2.02,1223.15,62.35027868084509,0.4900813339799019,19.70954272154424,2.0948267972846586,0.9743969989309762,3.4174069627956745,6.0830064923644125,4.600600851403095,,6.116916666666666,1280.4372345740694,-6.11,,,,,,,,950.0000000000001
30,,2.0,1273.15,59.426735129287486,0.7026891333448297,19.133024249041764,3.0432651667144492,1.588317786129432,6.310317537230839,5.686418583527448,3.5230452395165366,,6.5600499999999995,2121.4526011741186,-5.31,,,,,,,,1000.0000000000001
31,,2.0,1123.15,72.31251675769656,0.37914377484694656,16.442290676746616,1.555135844942546,0.5708947250861655,1.6993368803213613,4.465743349754173,2.4901779167855715,,9.629728571428576,264.05329766330243,-10.72,,,,,,,,850.0000000000001
32,,2.0,1123.15,72.02885952765459,0.394379856914158,16.4781445260417,1.5412141040667897,0.6816364634321583,1.7593026916333805,4.686574728723873,2.3595473693134847,,7.861679999999998,275.99966932527065,-10.72,,,,,,,,850.0000000000001
33,,2.0,1173.15,67.84107296866397,0.6489010994950777,17.831084933684465,2.0889784707807926,1.3923622649160847,2.625141773216037,5.36643032974949,1.9765309760283951,,6.735383333333338,703.7654235576648,-9.86,,,,,,,,900.0000000000001
34,,2.0,1173.15,68.19660261491855,0.6212588347273439,17.665577189863658,2.130080627729603,1.3963794860935363,2.8229803635303994,5.156749323869759,1.8543031317256757,,6.891149999999996,683.3598439388466,-9.86,,,,,,,,900.0000000000001
35,,1.95,1223.15,65.48566174816024,0.6957729256626888,17.674104328643146,2.701865070968803,1.9632340088286644,3.4007254311101685,6.017924850430264,1.7643352285340446,,6.4284099999999995,1050.97537515529,-9.08,,,,,,,,950.0000000000001
36,,2.0,1273.15,66.47613673540182,0.340523818629787,19.917262433967476,0.8055766830104222,0.18495249740233247,4.158396886275022,6.081669720590082,1.718854420033307,,7.634150000000001,1336.241922724623,-8.35,,,,,,,,1000.0000000000001
37,,2.02,1223.15,66.88715521218494,0.45796526081274597,17.956437463700134,1.9937947614842164,1.8330888497084994,2.7672644065813885,5.991353760964789,1.8728678943133301,,6.73784,809.2013541926887,-6.11,,,,,,,,950.0000000000001
38,,2.0,1273.15,65.051754534349,0.5169563044740062,17.991918336761202,2.3368491391673447,1.9182457245974898,4.372917455095556,5.874994062482663,1.6204709990272153,,5.321315384615383,1183.6690572348518,-5.31,,,,,,,,1000.0000000000001
39,,2.0,1073.15,77.23561733084894,0.2613246575296242,12.712381351284343,0.9729295358587269,0.2601367847375053,1.1736919595294368,3.074580143169545,4.280339715995745,,6.353607692307691,69.95611624614872,-11.65,,,,,,,,800.0000000000001
40,,2.0,1073.15,76.14338981876857,0.34455537234543243,12.940383204062377,1.2126317132624516,0.33540208669080357,1.5345392214013194,3.1960098673216084,4.0706480556081095,,6.485009090909091,79.14119410442169,-11.65,,,,,,,,800.0000000000001
41,,1.7,1123.15,72.76010830393656,0.4231480172243171,14.796300386577643,1.7253233226531437,0.6525963654240416,2.37859723505577,3.650751478382214,3.5636341879605897,,7.740555555555555,182.56677283703888,-10.73,,,,,,,,850.0000000000001
42,,1.7,1123.15,74.52740974014995,0.4107611226208509,13.711411410285084,1.5757020097354744,0.5078280207895696,1.7586640230464232,3.468181032480482,3.9446549592364892,,7.357544444444446,144.38461778666,-10.73,,,,,,,,850.0000000000001
43,,1.8,1173.15,73.8500034813877,0.6030255395981954,14.469552602885235,1.3327422963124012,0.33861186544189464,2.158720015014747,3.692559884537582,3.503662185808947,,5.809973333333333,209.90475893080193,-9.87,,,,,,,,900.0000000000001
44,,1.8,1173.15,74.57422775938561,0.6003664329413836,13.920599221971655,1.3530914206541087,0.291678963284256,1.6825531771015532,3.649863260732132,3.86415605344359,,5.283493333333333,174.7567865767341,-9.87,,,,,,,,900.0000000000001
45,,1.82,1073.15,76.88343054870596,0.2062840374609927,12.602968879368564,0.9653805742822138,0.719033103663669,1.4636947159275644,3.16587569413893,3.946412009860162,,5.37422857142857,80.63175673748043,-8.96,,,,,,,,800.0000000000001
46,,1.82,1073.15,76.85,0.16907029785376348,12.625711556757132,1.0554554842964348,0.7994223672487966,1.3306373566697336,3.1477027385927223,3.921847233660957,,5.272716666666668,52.82154326537596,-8.96,,,,,,,,800.0000000000001
47,,2.01,1123.15,74.9620203363849,0.2237490651103391,13.820266700714171,1.164629203058808,0.6397971441751911,1.8638193941537309,3.5637112303593588,3.725482465694449,,5.5158299999999985,119.35933902172262,-7.93,,,,,,,,850.0000000000001
48,,2.01,1123.15,75.68774678938449,0.2378866694310125,13.319908431710521,1.1846788789185811,0.4993037357908439,1.6754523820528864,3.4864644056239866,3.8770377986226565,,4.925849999999997,115.72705344908206,-7.93,,,,,,,,850.0000000000001
49,,1.99,1173.15,73.96509154226177,0.3538328449649041,14.88100094401946,0.9807266668572635,0.48726905436652,2.0384338148301606,3.7424177798873313,3.4758908563321067,,6.189446153846154,222.88499250562077,-6.98,,,,,,,,900.0000000000001
50,,1.99,1173.15,74.18866202885641,0.35538449892658386,14.471908910925773,1.0834671599287213,0.36647376299324635,2.1033451677574457,3.734576103965314,3.601934281427883,,6.114476923076922,208.17729758236877,-6.98,,,,,,,,900.0000000000001
51,,1.75,1173.15,76.03794958923064,0.03489549611035943,13.134353887630313,0.05777270827460392,0.016743787296782667,0.9974857733430553,4.937568369896058,4.715184302239768,,4.564266666666665,221.92587138593416,-9.87,,,,,,,,900.0000000000001
52,,2.02,1073.15,77.711173708573,0.02858830816336832,12.295792346209586,0.062306733580178034,0.016878514530328997,0.4439879701792397,4.724216092627466,4.650903808567009,,4.602981818181817,88.87363852110917,-11.65,,,,,,,,800.0000000000001
53,,1.75,1173.15,76.03266142496405,0.028725159017743966,13.067683391964778,0.05691481677371919,0.01935363183340516,1.0848344163456638,4.985607340573404,4.7062701548199755,,5.244899999999999,236.91345635510208,-9.87,,,,,,,,900.0000000000001
54,,2.02,1073.15,76.64702107215643,0.02928523067255911,13.04521313480479,0.0351766307204469,0.022043653812506135,0.4499234719350473,4.965088220050153,4.785284978110751,,5.285708333333332,97.05743608959948,-11.65,,,,,,,,800.0000000000001
55,,1.91,1173.15,75.82245406854213,0.01728883345579204,13.216077710170167,0.05107557953283017,0.015230524525818662,0.9646369926001003,5.077180129049489,4.794627252530231,,3.8908166666666646,155.97944354234326,-9.86,,,,,,,,900.0000000000001
56,,2.0,1073.15,76.97988977200377,0.022961292278945816,12.7827220339,0.040060109056045824,0.016921032256863318,0.4475496327743172,4.985318721715125,4.68084968872606,,4.776023076923078,107.88531627595091,-11.65,,,,,,,,800.0000000000001
57,,1.91,1173.15,76.12472485707362,0.02996603394360833,13.009198027194705,0.05339325772342885,0.01636685101828987,1.1863803883011683,4.879802753531302,4.638889307425866,,4.533041666666667,200.03577629278038,-9.86,,,,,,,,900.0000000000001
58,,2.0,1073.15,76.2960937676021,0.022776106163867237,13.278406502158957,0.05912617892598908,0.022291537396234302,0.5150194604301301,5.060948763320449,4.708454111183088,,5.6533,106.49981264051961,-11.65,,,,,,,,800.0000000000001
59,,2.06,1300.15,69.66,0.42,17.89,3.35,1.01,1.36,4.78,1.53,,4.58,2290.126458690402,-6.25,,,,,,,,1027.0
60,,2.02,1258.15,60.14,0.64,19.05,4.18,1.98,6.29,4.96,2.63,,6.88,1940.107130942961,-6.91,,,,,,,,985.0000000000001
61,,2.02,1258.15,61.56,0.75,18.81,3.68,1.91,5.95,4.69,2.52,,6.24,1860.1027131721173,-6.91,,,,,,,,985.0000000000001
62,,1.95,1223.15,67.08,0.1,19.6,1.76,1.32,1.81,4.33,3.11,,4.95,1460.0806243178986,-7.49,,,,,,,,950.0000000000001
63,,2.2,1213.15,69.05,0.36,18.11,3.39,1.52,1.79,4.62,1.14,,5.51,1290.0712365548554,-7.67,,,,,,,,940.0000000000001
64,,1.95,1193.15,67.11,0.61,18.32,2.54,1.82,3.76,4.7,1.09,,4.29,980.054117692836,-8.02,,,,,,,,920.0000000000001
65,,1.95,1193.15,62.94,0.77,19.99,2.34,1.86,5.3,3.18,3.18,,7.02,1150.063505455879,-8.02,,,,,,,,920.0000000000001
66,,2.01,1143.15,69.91,0.53,17.28,1.94,1.35,2.56,4.84,1.53,,7.1,490.027058846418,-8.95,,,,,,,,870.0000000000001
67,,2.01,1143.15,67.92,0.31,17.65,1.69,0.75,2.76,4.72,4.01,,5.16,480.02650662506244,-8.95,,,,,,,,870.0000000000001
68,,2.07,1123.15,74.23,0.26,16.3,0.76,0.86,1.19,4.63,1.71,,7.81,240.01325331253122,-8.95,,,,,,,,850.0000000000001
69,,1.16,1247.15,63.47,0.83,17.35,3.01,1.8,5.14,3.97,3.05,,5.64,1070.0590876850351,-8.8,,,,,,,,974.0000000000001
70,,2.03,1226.15,60.59,0.76,18.47,4.64,0.87,5.46,5.38,3.38,,8.41,920.0508043647031,-9.8,,,,,,,,953.0000000000001
71,,2.04,1200.15,63.17,0.68,19.08,2.28,1.11,5.1,5.22,3.22,,7.0,290.01601441930865,-10.3,,,,,,,,927.0000000000001
72,,2.04,1200.15,63.32,0.69,19.02,2.34,1.47,4.77,4.96,3.3,,6.17,290.01601441930865,-10.3,,,,,,,,927.0000000000001
73,,2.04,1200.15,65.82,0.68,18.92,1.38,1.49,3.75,4.6,3.29,,8.63,700.0386554948828,-9.0,,,,,,,,927.0000000000001
74,,2.04,1200.15,64.87,0.67,18.55,2.01,1.24,4.19,4.85,3.53,,7.98,980.054117692836,-9.0,,,,,,,,927.0000000000001
75,,2.0,1073.15,70.35,0.26,15.86,1.26,0.25,1.61,4.61,5.61,,5.98,160.20484636522608,-10.41,,,,,,,,800.0000000000001
76,,2.0,1073.15,70.59,0.19,16.1,1.29,0.24,1.64,4.07,5.79,,5.95,160.20484636522608,-8.96,,,,,,,,800.0000000000001
77,,2.5,1073.15,69.93,0.24,16.22,1.16,0.24,1.86,4.46,5.68,,6.52,160.20484636522608,-10.37,,,,,,,,800.0000000000001
78,,4.0,1073.15,67.31,0.19,17.89,1.32,0.38,2.71,5.31,4.63,,8.24,480.61453909567825,-10.27,,,,,,,,800.0000000000001
79,,4.0,1073.15,67.12,0.1,17.74,1.27,0.38,2.7,5.66,4.62,,8.3,520.6657506869848,-8.93,,,,,,,,800.0000000000001
80,,2.0,1123.15,67.87,0.25,17.32,1.58,0.8,2.37,4.65,4.9,,5.99,400.5121159130652,-8.96,,,,,,,,850.0000000000001
81,,4.0,1123.15,64.47,0.28,19.26,1.91,0.65,4.18,4.89,3.99,,8.19,760.9730202348238,-9.21,,,,,,,,850.0000000000001
82,,4.0,1123.15,64.47,0.24,19.2,1.78,0.69,4.23,5.03,3.98,,8.22,801.0242318261304,-9.21,,,,,,,,850.0000000000001
83,,1.0,1173.15,66.95,0.63,17.18,1.9,0.54,2.06,5.23,5.28,,4.17,440.5633275043717,-8.45,,,,,,,,900.0000000000001
84,,2.0,1173.15,64.14,0.54,18.46,2.34,0.96,3.96,5.01,4.17,,6.05,881.1266550087435,-8.38,,,,,,,,900.0000000000001
85,,2.0,1173.15,64.84,0.48,18.27,2.09,0.96,3.71,4.97,4.32,,6.05,680.8705970522109,-6.98,,,,,,,,900.0000000000001
86,,4.0,1173.15,60.77,0.52,20.22,2.51,0.97,6.39,4.86,3.18,,8.21,1561.9972520609542,-8.25,,,,,,,,900.0000000000001
87,,2.0,1223.15,60.83,0.61,19.13,3.16,1.43,6.41,4.48,3.29,,5.98,1642.0996752435674,-7.49,,,,,,,,950.0000000000001
88,,2.0,1223.15,60.74,0.65,19.05,3.24,1.42,6.54,4.56,3.19,,5.98,1561.9972520609542,-6.11,,,,,,,,950.0000000000001
89,,4.0,1223.15,59.84,0.63,18.93,2.86,0.3,9.65,4.63,2.08,,8.03,3484.4554084436672,-7.37,,,,,,,,950.0000000000001
90,,4.0,1223.15,59.82,0.44,19.62,2.78,0.44,8.92,4.76,2.28,,8.09,3043.8920809392953,-6.09,,,,,,,,950.0000000000001
91,,2.0,1273.15,57.55,0.64,18.69,4.93,1.99,8.45,4.13,2.51,,5.94,3164.045715713215,-6.67,,,,,,,,1000.0000000000001
92,,2.0,1273.15,57.62,0.66,18.75,1.58,2.09,8.46,4.15,2.76,,5.97,2883.6872345740694,-5.31,,,,,,,,1000.0000000000001
93,,4.0,1273.15,57.98,0.55,18.76,4.21,0.79,9.52,4.51,2.26,,8.02,4846.196602548089,-5.29,,,,,,,,1000.0000000000001
94,,2.5,1073.15,74.42,0.15,15.25,1.11,0.9,1.96,4.02,2.05,,5.84,280.3584811391457,-8.95,,,,,,,,800.0000000000001
95,,2.5,1073.15,73.39,0.2,15.93,1.33,1.31,2.27,3.59,1.88,,6.43,160.20484636522608,-10.37,,,,,,,,800.0000000000001
96,,2.5,1073.15,73.86,0.2,15.95,1.16,0.85,2.2,3.83,1.81,,6.43,240.30726954783913,-10.37,,,,,,,,800.0000000000001
97,,4.0,1073.15,69.98,0.17,17.71,1.25,0.82,2.82,5.23,1.8,,8.12,480.61453909567825,-10.27,,,,,,,,800.0000000000001
98,,2.0,1123.15,71.8,0.22,16.61,1.47,0.69,2.16,4.74,2.16,,5.91,360.4609043217587,-9.35,,,,,,,,850.0000000000001
99,,2.0,1123.15,72.34,0.17,16.66,1.36,0.65,2.27,4.28,2.12,,5.88,360.4609043217587,-7.93,,,,,,,,850.0000000000001
100,,4.0,1123.15,67.51,0.22,19.45,1.54,0.7,4.04,4.93,1.31,,8.13,760.9730202348238,-9.21,,,,,,,,850.0000000000001
101,,4.0,1123.15,67.94,0.19,19.33,1.55,0.78,4.22,4.43,0.13,,8.07,680.8705970522109,-7.9,,,,,,,,850.0000000000001
102,,2.0,1273.15,59.71,0.62,21.54,2.64,0.9,7.7,4.34,1.07,,5.96,4926.299025730702,-6.67,,,,,,,,1000.0000000000001
103,,2.0,1273.15,60.67,0.67,21.11,2.45,1.11,7.06,4.61,1.07,,5.99,4565.838121408942,-5.31,,,,,,,,1000.0000000000001
104,,4.0,1273.15,60.66,0.42,20.49,1.95,0.36,8.42,4.77,1.12,,7.99,6728.603547339495,-6.55,,,,,,,,1000.0000000000001
105,,2.0,1073.15,69.51,0.03,16.54,1.31,0.34,1.52,4.9,5.78,,6.05,120.15363477391956,-10.41,,,,,,,,800.0000000000001
106,,2.0,1073.15,70.32,0.01,16.35,1.39,0.27,1.34,4.33,5.92,,6.0,200.2560579565326,-8.96,,,,,,,,800.0000000000001
107,,2.0,1123.15,67.83,0.02,17.68,1.61,0.41,1.89,5.21,5.21,,6.06,400.5121159130652,-9.35,,,,,,,,850.0000000000001
108,,2.0,1123.15,68.39,0.0,17.52,1.64,0.4,1.79,4.9,5.27,,5.62,360.4609043217587,-7.93,,,,,,,,850.0000000000001
109,,2.0,1023.15,72.22,,11.95,,,0.14,3.57,3.87,,5.26,62.001875621997605,-14.44,,,,,,,,750.0
110,,2.0,1023.15,71.85,,11.91,,,0.5,3.62,3.9,,5.26,32.00096806296651,-14.44,,,,,,,,750.0
111,,2.0,1123.15,72.3,,12.11,,,0.2,3.9,3.98,,5.62,130.00393275580143,-10.72,,,,,,,,850.0000000000001
112,,2.0,1123.15,72.53,,12.34,,,0.13,3.92,3.92,,5.62,320.00968062966507,-10.72,,,,,,,,850.0000000000001
113,,2.0,1123.15,72.64,,12.06,,,0.3,3.83,3.86,,5.62,100.00302519677034,-10.72,,,,,,,,850.0000000000001
114,,2.0,1223.15,72.74,,12.36,,,0.16,3.52,3.7,,5.8,1220.036907400598,-9.04,,,,,,,,950.0000000000001
115,,2.0,1223.15,73.45,,12.24,,,0.095,3.05,3.07,,5.8,3500.105881886961,-9.04,,,,,,,,950.0000000000001
116,,2.0,1223.15,74.14,,11.93,,,0.091,2.8,2.94,,5.8,4200.127058264354,-9.04,,,,,,,,950.0000000000001
117,,2.0,1223.15,81.29,,7.83,,,0.051,1.48,1.71,,5.8,4100.124033067583,-9.04,,,,,,,,950.0000000000001
118,,2.0,1223.15,77.07,,10.07,,,0.067,2.16,2.37,,5.8,4600.139159051435,-9.04,,,,,,,,950.0000000000001
119,,2.0,1123.15,72.81,,12.14,,,0.5,3.92,3.87,,5.62,62.001875621997605,-10.72,,,,,,,,850.0000000000001
