Title: test

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
10000.00 1043.15 2.124338 68.5601 0.348669 8.93126 0.0411177 0.0915866 0.48289 6.01693 0.126507 1.13755 4.53924 2.23895 0 7.48517
10000.00 1042.15 2.097077 68.4066 0.34306 8.91372 0.0413247 0.0929535 0.484308 6.09564 0.125099 1.13587 4.56404 2.21544 0 7.58195
10000.00 1041.15 2.069765 68.2464 0.337571 8.89906 0.0415128 0.0944537 0.48554 6.17574 0.123774 1.13402 4.58794 2.19191 0 7.68203
10000.00 1040.15 2.042259 68.0801 0.332064 8.88396 0.0417133 0.0960319 0.486906 6.25858 0.122492 1.13215 4.61258 2.16785 0 7.78552
10000.00 1039.15 2.014539 67.9072 0.326535 8.86838 0.0419275 0.0976947 0.488416 6.34439 0.121253 1.13026 4.63799 2.14323 0 7.89271
10000.00 1038.15 1.986579 67.7271 0.32098 8.8523 0.0421563 0.0994493 0.490083 6.43339 0.120058 1.12833 4.66424 2.11801 0 8.00385
10000.00 1037.15 1.958354 67.5394 0.315395 8.83566 0.0424011 0.101304 0.491922 6.52583 0.118909 1.12638 4.69138 2.09216 0 8.11929
10000.00 1036.15 1.929834 67.3433 0.309773 8.81841 0.0426635 0.103268 0.493947 6.62201 0.117806 1.1244 4.71947 2.06562 0 8.23938
10000.00 1035.15 1.900986 67.1381 0.304109 8.8005 0.042945 0.105352 0.496177 6.72225 0.116752 1.12239 4.74859 2.03836 0 8.36453
10000.00 1034.15 1.871774 66.923 0.298396 8.78186 0.0432476 0.107569 0.498632 6.82692 0.115747 1.12035 4.77881 2.01031 0 8.4952
10000.00 1033.15 1.842157 66.697 0.292626 8.7624 0.0435735 0.109932 0.501336 6.93646 0.114794 1.11828 4.81022 1.98141 0 8.63192
