Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,1200.00,1.000,-7.227,1.0316329446124e+02,2.1740,68.8282,0.5518,13.5613,0.7861,0.0000,2.4740,0.0000,0.7250,0.0000,0.0000,2.5639,3.7448,3.4309,0.0000,3.3339,0.0000,0.0000,0.0000,0.0000,-1.7734760454514e+03,-1.3286633103961e+03,3.0194666874067e+02,4.7453131636014e+01,1.4209743099801e+02,5.5361736e-01,3.2203420e-02,3.8570985e-03,4.8460447e-03,0.0000000e+00,4.1887736e-02,0.0000000e+00,8.8942848e-03,0.0000000e+00,0.0000000e+00,3.1909841e-02,3.7697750e-05,1.0466278e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,9.2378970e-02,3.5247,6.5606628964879e+00,0.1450,-1.7414634363875e+02,-7.2176309592227e+01,6.9221592139772e+01,4.5243659114633e+01,1.9572511405877e+01,-1.9476223890901e+03,-1.4008396199883e+03, 3.7116826088044e+02, 9.2696790750648e+01, 1.6166994240389e+02, 4.3760924010626e-02,-4.4748685680878e-02, 4.7208672119342e-04, 4.8274255579409e-04, 6.0925632569256e-03,-8.3643706355812e-04, 1.2839117349848e-04, 1.7626593540210e-05
2,1199.00,1.000,-7.238,1.0316417686590e+02,2.1742,68.8277,0.5518,13.5612,0.7864,0.0000,2.4737,0.0000,0.7250,0.0000,0.0000,2.5639,3.7448,3.4309,0.0000,3.3347,0.0000,0.0000,0.0000,0.0000,-1.7731972398107e+03,-1.3288155079406e+03,3.0185900341002e+02,4.7448508873738e+01,1.4209678008568e+02,5.5358660e-01,3.2248731e-02,3.8497020e-03,4.8494545e-03,0.0000000e+00,4.1917990e-02,0.0000000e+00,8.8968448e-03,0.0000000e+00,0.0000000e+00,3.1910775e-02,3.7516057e-05,1.0455602e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,9.2516669e-02,3.5298,6.5598133930506e+00,0.1451,-1.7405458842049e+02,-7.2186534870816e+01,6.9199339386420e+01,4.5200130045072e+01,1.9571993614379e+01,-1.9472518282312e+03,-1.4010020428115e+03, 3.7105834279644e+02, 9.2648638918810e+01, 1.6166877370006e+02, 4.3770573084101e-02,-4.4709995780587e-02, 4.7243622350953e-04, 4.8257585111172e-04, 6.0926060495415e-03,-8.3622613290602e-04, 1.2840458413043e-04, 1.7623865380707e-05
3,1198.00,1.000,-7.249,1.0316506065403e+02,2.1745,68.8271,0.5518,13.5611,0.7868,0.0000,2.4734,0.0000,0.7250,0.0000,0.0000,2.5638,3.7448,3.4308,0.0000,3.3355,0.0000,0.0000,0.0000,0.0000,-1.7729185480550e+03,-1.3289677235562e+03,3.0177128402866e+02,4.7443887203348e+01,1.4209612039229e+02,5.5355582e-01,3.2294170e-02,3.8423097e-03,4.8528775e-03,0.0000000e+00,4.1948285e-02,0.0000000e+00,8.8994090e-03,0.0000000e+00,0.0000000e+00,3.1911711e-02,3.7334988e-05,1.0444922e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,9.2654740e-02,3.5349,6.5589626585870e+00,0.1452,-1.7396283176945e+02,-7.2196743554166e+01,6.9177066686936e+01,4.5156587755772e+01,1.9571487114560e+01,-1.9468813798244e+03,-1.4011644671104e+03, 3.7094835071560e+02, 9.2600474959120e+01, 1.6166760750685e+02, 4.3780248975321e-02,-4.4671296966268e-02, 4.7278644083250e-04, 4.8240893997562e-04, 6.0926476438933e-03,-8.3601525201086e-04, 1.2841796916386e-04, 1.7621137332774e-05
4,1197.00,1.000,-7.261,1.0316594582766e+02,2.1747,68.8265,0.5518,13.5610,0.7871,0.0000,2.4731,0.0000,0.7250,0.0000,0.0000,2.5638,3.7447,3.4308,0.0000,3.3363,0.0000,0.0000,0.0000,0.0000,-1.7726399702623e+03,-1.3291199572666e+03,3.0168351052325e+02,4.7439266626123e+01,1.4209545190240e+02,5.5352502e-01,3.2339737e-02,3.8349214e-03,4.8563137e-03,0.0000000e+00,4.1978622e-02,0.0000000e+00,8.9019777e-03,0.0000000e+00,0.0000000e+00,3.1912648e-02,3.7154542e-05,1.0434239e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,9.2793184e-02,3.5400,6.5581106915643e+00,0.1454,-1.7387107368919e+02,-7.2206935629121e+01,6.9154774011983e+01,4.5113032224144e+01,1.9570991971920e+01,-1.9465110439515e+03,-1.4013268928957e+03, 3.7083828453524e+02, 9.2552298850267e+01, 1.6166644387432e+02, 4.3789951783192e-02,-4.4632589209682e-02, 4.7313737559384e-04, 4.8224182180380e-04, 6.0926880392285e-03,-8.3580442073435e-04, 1.2843132857103e-04, 1.7618409393245e-05
5,1196.00,1.000,-7.272,1.0316683238875e+02,2.1749,68.8259,0.5518,13.5609,0.7874,0.0000,2.4728,0.0000,0.7250,0.0000,0.0000,2.5638,3.7447,3.4308,0.0000,3.3371,0.0000,0.0000,0.0000,0.0000,-1.7723615065099e+03,-1.3292722090950e+03,3.0159568281992e+02,4.7434647143277e+01,1.4209477460046e+02,5.5349421e-01,3.2385434e-02,3.8275373e-03,4.8597633e-03,0.0000000e+00,4.2009000e-02,0.0000000e+00,8.9045507e-03,0.0000000e+00,0.0000000e+00,3.1913586e-02,3.6974719e-05,1.0423553e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,9.2932003e-02,3.5451,6.5572574904847e+00,0.1455,-1.7377931418425e+02,-7.2217111082951e+01,6.9132461332540e+01,4.5069463427783e+01,1.9570508252429e+01,-1.9461408206942e+03,-1.4014893201780e+03, 3.7072814415246e+02, 9.2504110571060e+01, 1.6166528285289e+02, 4.3799681607198e-02,-4.4593872482683e-02, 4.7348903023668e-04, 4.8207449601309e-04, 6.0927272347436e-03,-8.3559363893228e-04, 1.2844466232331e-04, 1.7615681558848e-05
6,1195.00,1.000,-7.283,1.0316772033935e+02,2.1752,68.8253,0.5518,13.5607,0.7877,0.0000,2.4725,0.0000,0.7250,0.0000,0.0000,2.5638,3.7447,3.4307,0.0000,3.3379,0.0000,0.0000,0.0000,0.0000,-1.7720831568763e+03,-1.3294244790656e+03,3.0150780084506e+02,4.7430028756097e+01,1.4209408847099e+02,5.5346337e-01,3.2431261e-02,3.8201574e-03,4.8632262e-03,0.0000000e+00,4.2039420e-02,0.0000000e+00,8.9071280e-03,0.0000000e+00,0.0000000e+00,3.1914526e-02,3.6795517e-05,1.0412864e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,9.3071197e-02,3.5503,6.5564030538083e+00,0.1456,-1.7368755325816e+02,-7.2227269902518e+01,6.9110128619066e+01,4.5025881343933e+01,1.9570036022300e+01,-1.9457707101344e+03,-1.4016517489681e+03, 3.7061792946413e+02, 9.2455910100029e+01, 1.6166412449329e+02, 4.3809438547057e-02,-4.4555146756704e-02, 4.7384140721409e-04, 4.8190696201572e-04, 6.0927652296824e-03,-8.3538290646649e-04, 1.2845797039284e-04, 1.7612953826411e-05
7,1194.00,1.000,-7.295,1.0316860968145e+02,2.1754,68.8247,0.5518,13.5606,0.7880,0.0000,2.4722,0.0000,0.7250,0.0000,0.0000,2.5638,3.7446,3.4307,0.0000,3.3387,0.0000,0.0000,0.0000,0.0000,-1.7718049214390e+03,-1.3295767672018e+03,3.0141986452458e+02,4.7425411465819e+01,1.4209339349839e+02,5.5343252e-01,3.2477218e-02,3.8127816e-03,4.8667026e-03,0.0000000e+00,4.2069882e-02,0.0000000e+00,8.9097098e-03,0.0000000e+00,0.0000000e+00,3.1915468e-02,3.6616935e-05,1.0402171e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,9.3210769e-02,3.5554,6.5555473800205e+00,0.1457,-1.7359579091516e+02,-7.2237412075012e+01,6.9087775842223e+01,4.4982285949948e+01,1.9569575348182e+01,-1.9454007123542e+03,-1.4018141792768e+03, 3.7050764036681e+02, 9.2407697415768e+01, 1.6166296884657e+02, 4.3819222703030e-02,-4.4516412003205e-02, 4.7419450899069e-04, 4.8173921922233e-04, 6.0928020232501e-03,-8.3517222319435e-04, 1.2847125275110e-04, 1.7610226192687e-05
8,1193.00,1.000,-7.306,1.0316950041704e+02,2.1756,68.8241,0.5518,13.5605,0.7883,0.0000,2.4718,0.0000,0.7250,0.0000,0.0000,2.5637,3.7446,3.4307,0.0000,3.3395,0.0000,0.0000,0.0000,0.0000,-1.7715268002753e+03,-1.3297290735270e+03,3.0133187378393e+02,4.7420795273630e+01,1.4209268966693e+02,5.5340164e-01,3.2523305e-02,3.8054100e-03,4.8701924e-03,0.0000000e+00,4.2100386e-02,0.0000000e+00,8.9122959e-03,0.0000000e+00,0.0000000e+00,3.1916411e-02,3.6438973e-05,1.0391476e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,9.3350719e-02,3.5605,6.5546904676405e+00,0.1459,-1.7350402716046e+02,-7.2247537588042e+01,6.9065402972960e+01,4.4938677223356e+01,1.9569126297188e+01,-1.9450308274357e+03,-1.4019766111150e+03, 3.7039727675689e+02, 9.2359472496985e+01, 1.6166181596411e+02, 4.3829034175954e-02,-4.4477668193722e-02, 4.7454833804280e-04, 4.8157126704219e-04, 6.0928376146032e-03,-8.3496158896769e-04, 1.2848450936864e-04, 1.7607498654330e-05
9,1192.00,1.000,-7.317,1.0317039254813e+02,2.1758,68.8235,0.5518,13.5604,0.7887,0.0000,2.4715,0.0000,0.7249,0.0000,0.0000,2.5637,3.7446,3.4307,0.0000,3.3403,0.0000,0.0000,0.0000,0.0000,-1.7712487934637e+03,-1.3298813980652e+03,3.0124382854902e+02,4.7416180180818e+01,1.4209197696103e+02,5.5337075e-01,3.2569524e-02,3.7980426e-03,4.8736957e-03,0.0000000e+00,4.2130931e-02,0.0000000e+00,8.9148865e-03,0.0000000e+00,0.0000000e+00,3.1917355e-02,3.6261628e-05,1.0380777e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,9.3491050e-02,3.5657,6.5538323151193e+00,0.1460,-1.7341226199752e+02,-7.2257646428517e+01,6.9043009981441e+01,4.4895055141150e+01,1.9568688936621e+01,-1.9446610554613e+03,-1.4021390444937e+03, 3.7028683853046e+02, 9.2311235321969e+01, 1.6166066589765e+02, 4.3838873066792e-02,-4.4438915299200e-02, 4.7490289685635e-04, 4.8140310487887e-04, 6.0928720029782e-03,-8.3475100364821e-04, 1.2849774021744e-04, 1.7604771208160e-05
10,1191.00,1.000,-7.329,1.0317128607667e+02,2.1761,68.8229,0.5518,13.5603,0.7890,0.0000,2.4712,0.0000,0.7249,0.0000,0.0000,2.5637,3.7445,3.4306,0.0000,3.3411,0.0000,0.0000,0.0000,0.0000,-1.7709709010802e+03,-1.3300337408392e+03,3.0115572874436e+02,4.7411566188475e+01,1.4209125536477e+02,5.5333984e-01,3.2615875e-02,3.7906795e-03,4.8772126e-03,0.0000000e+00,4.2161518e-02,0.0000000e+00,8.9174814e-03,0.0000000e+00,0.0000000e+00,3.1918301e-02,3.6084901e-05,1.0370075e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,9.3631761e-02,3.5708,6.5529729210306e+00,0.1461,-1.7332049543315e+02,-7.2267738584755e+01,6.9020596839055e+01,4.4851419681109e+01,1.9568263334509e+01,-1.9442913965134e+03,-1.4023014794239e+03, 3.7017632558342e+02, 9.2262985869584e+01, 1.6165951869928e+02, 4.3848739477491e-02,-4.4400153291242e-02, 4.7525818793110e-04, 4.8123473213844e-04, 6.0929051874496e-03,-8.3454046707838e-04, 1.2851094526657e-04, 1.7602043850668e-05
