System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
1 3000.00 1400.00 100.000000 1.0000000000000000 1.000000 -1136763.872838 328.997146 42.852180 154.912018 -297.493269 5703.568189 -6.869 -6.869 2.333604 0.000000 0.320 n/a n/a
2 3000.00 1397.00 100.000000 1.0000000000000000 1.000000 -1137228.601573 328.719140 42.835069 154.907138 -297.515453 5703.568189 -6.896 -6.896 2.334536 0.000000 0.328 n/a n/a
3 3000.00 1394.00 100.000000 1.0000000000000000 1.000000 -1137693.315661 328.440643 42.817959 154.902253 -297.537638 5703.568189 -6.923 -6.923 2.335469 0.000000 0.335 n/a n/a
4 3000.00 1391.00 100.000000 1.0000000000000000 1.000000 -1138158.015088 328.161653 42.800848 154.897364 -297.559822 5703.568189 -6.950 -6.950 2.336402 0.000000 0.343 n/a n/a
5 3000.00 1388.00 100.000000 1.0000000000000000 1.000000 -1138622.699840 327.882169 42.783737 154.892470 -297.582007 5703.568189 -6.978 -6.978 2.337337 0.000000 0.350 n/a n/a
6 3000.00 1385.00 100.000000 1.0000000000000000 1.000000 -1139087.369904 327.602188 42.766627 154.887571 -297.604192 5703.568189 -7.005 -7.005 2.338272 0.000000 0.358 n/a n/a
7 3000.00 1382.00 100.000000 1.0000000000000000 1.000000 -1139552.025264 327.321709 42.749516 154.882668 -297.626376 5703.568189 -7.033 -7.033 2.339208 0.000000 0.365 n/a n/a
8 3000.00 1379.00 100.000000 1.0000000000000000 1.000000 -1140016.665906 327.040730 42.732405 154.877760 -297.648561 5703.568189 -7.061 -7.061 2.340144 0.000000 0.373 n/a n/a
9 3000.00 1376.00 100.000000 1.0000000000000000 1.000000 -1140481.291817 326.759250 42.715294 154.872846 -297.670745 5703.568189 -7.089 -7.089 2.341082 0.000000 0.381 n/a n/a
10 3000.00 1373.00 100.000000 1.0000000000000000 1.000000 -1140945.902980 326.477265 42.698184 154.867928 -297.692930 5703.568189 -7.117 -7.117 2.342020 0.000000 0.388 n/a n/a
