Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 3000.00 1400.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
2 3000.00 1397.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
3 3000.00 1394.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
4 3000.00 1391.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
5 3000.00 1388.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
6 3000.00 1385.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
7 3000.00 1382.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
8 3000.00 1379.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
9 3000.00 1376.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
10 3000.00 1373.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
11 3000.00 1370.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
12 3000.00 1367.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
13 3000.00 1364.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
14 3000.00 1361.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
15 3000.00 1358.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
16 3000.00 1355.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
17 3000.00 1352.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
18 3000.00 1349.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
19 3000.00 1346.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
20 3000.00 1343.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
21 3000.00 1340.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
22 3000.00 1337.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
23 3000.00 1334.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
24 3000.00 1331.00 100.000000 47.5796 1.92483 12.3906 1.387 0 11.2392 0.235923 6.20795 0 0 10.6315 2.33114 0.231242 0.176942 5.61721 0.0468101
