Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 3000.00 1400.00 99.803985 47.6731 1.92861 12.415 1.38973 0 11.2613 0.236386 6.22014 0 0 10.6524 2.33572 0.231696 0.17729 5.45686 0.0218849
2 3000.00 1397.00 99.806066 47.6721 1.92857 12.4147 1.3897 0 11.261 0.236381 6.22001 0 0 10.6522 2.33567 0.231691 0.177286 5.45869 0.0220277
3 3000.00 1394.00 99.808142 47.6711 1.92853 12.4144 1.38967 0 11.2608 0.236376 6.21988 0 0 10.6519 2.33562 0.231686 0.177282 5.46051 0.0221721
4 3000.00 1391.00 99.810215 47.6701 1.92849 12.4142 1.38964 0 11.2606 0.236371 6.21976 0 0 10.6517 2.33557 0.231681 0.177279 5.46232 0.0223179
5 3000.00 1388.00 99.812284 47.6691 1.92845 12.4139 1.38961 0 11.2603 0.236366 6.21963 0 0 10.6515 2.33553 0.231677 0.177275 5.46414 0.0224653
6 3000.00 1385.00 99.814350 47.6681 1.92841 12.4137 1.38958 0 11.2601 0.236362 6.2195 0 0 10.6513 2.33548 0.231672 0.177271 5.46594 0.0226143
7 3000.00 1382.00 99.816412 47.6671 1.92837 12.4134 1.38956 0 11.2599 0.236357 6.21937 0 0 10.6511 2.33543 0.231667 0.177268 5.46775 0.0227649
8 3000.00 1379.00 99.818471 47.6662 1.92833 12.4132 1.38953 0 11.2596 0.236352 6.21924 0 0 10.6508 2.33538 0.231662 0.177264 5.46954 0.0229171
9 3000.00 1376.00 99.820527 47.6652 1.92829 12.4129 1.3895 0 11.2594 0.236347 6.21911 0 0 10.6506 2.33533 0.231658 0.17726 5.47134 0.023071
10 3000.00 1373.00 99.822579 47.6642 1.92825 12.4126 1.38947 0 11.2592 0.236342 6.21899 0 0 10.6504 2.33528 0.231653 0.177257 5.47312 0.0232266
11 3000.00 1370.00 99.824629 47.6632 1.92821 12.4124 1.38944 0 11.2589 0.236337 6.21886 0 0 10.6502 2.33524 0.231648 0.177253 5.47491 0.023384
12 3000.00 1367.00 99.826676 47.6622 1.92817 12.4121 1.38941 0 11.2587 0.236332 6.21873 0 0 10.65 2.33519 0.231643 0.177249 5.47668 0.0235432
13 3000.00 1364.00 99.828720 47.6613 1.92813 12.4119 1.38938 0 11.2585 0.236328 6.2186 0 0 10.6497 2.33514 0.231638 0.177246 5.47846 0.0237042
14 3000.00 1361.00 99.830761 47.6603 1.92809 12.4116 1.38936 0 11.2582 0.236323 6.21848 0 0 10.6495 2.33509 0.231634 0.177242 5.48023 0.0238672
15 3000.00 1358.00 99.832801 47.6593 1.92805 12.4114 1.38933 0 11.258 0.236318 6.21835 0 0 10.6493 2.33505 0.231629 0.177238 5.48199 0.0240321
16 3000.00 1355.00 99.834839 47.6583 1.92801 12.4111 1.3893 0 11.2578 0.236313 6.21822 0 0 10.6491 2.335 0.231624 0.177235 5.48376 0.0241991
17 3000.00 1352.00 99.836876 47.6574 1.92798 12.4109 1.38927 0 11.2576 0.236308 6.21809 0 0 10.6489 2.33495 0.23162 0.177231 5.48551 0.0243682
18 3000.00 1349.00 99.838912 47.6564 1.92794 12.4106 1.38924 0 11.2573 0.236303 6.21797 0 0 10.6487 2.3349 0.231615 0.177228 5.48727 0.0245396
19 3000.00 1346.00 99.840948 47.6554 1.9279 12.4104 1.38921 0 11.2571 0.236299 6.21784 0 0 10.6484 2.33486 0.23161 0.177224 5.48902 0.0247134
20 3000.00 1343.00 99.842986 47.6545 1.92786 12.4101 1.38919 0 11.2569 0.236294 6.21771 0 0 10.6482 2.33481 0.231605 0.17722 5.49077 0.0248898
21 3000.00 1340.00 99.845025 47.6535 1.92782 12.4099 1.38916 0 11.2566 0.236289 6.21759 0 0 10.648 2.33476 0.231601 0.177217 5.49253 0.0250689
22 3000.00 1337.00 99.847069 47.6525 1.92778 12.4096 1.38913 0 11.2564 0.236284 6.21746 0 0 10.6478 2.33471 0.231596 0.177213 5.49428 0.0252512
23 3000.00 1334.00 99.849119 47.6515 1.92774 12.4093 1.3891 0 11.2562 0.236279 6.21733 0 0 10.6476 2.33466 0.231591 0.177209 5.49603 0.0254369
24 3000.00 1331.00 99.851178 47.6505 1.9277 12.4091 1.38907 0 11.2559 0.236274 6.2172 0 0 10.6473 2.33462 0.231586 0.177206 5.49779 0.0256267
25 3000.00 1328.00 99.853253 47.6496 1.92766 12.4088 1.38904 0 11.2557 0.236269 6.21707 0 0 10.6471 2.33457 0.231582 0.177202 5.49956 0.0258215
26 3000.00 1325.00 99.855353 47.6485 1.92762 12.4086 1.38901 0 11.2555 0.236265 6.21694 0 0 10.6469 2.33452 0.231577 0.177198 5.50134 0.026023
27 3000.00 1322.00 99.857501 47.6475 1.92758 12.4083 1.38898 0 11.2552 0.236259 6.21681 0 0 10.6467 2.33447 0.231572 0.177195 5.50316 0.026235
28 3000.00 1319.00 99.859775 47.6464 1.92753 12.408 1.38895 0 11.255 0.236254 6.21667 0 0 10.6464 2.33441 0.231566 0.177191 5.50508 0.0264706
29 3000.00 1316.00 99.863044 47.6449 1.92747 12.4076 1.38891 0 11.2546 0.236246 6.21647 0 0 10.6461 2.33434 0.231559 0.177185 5.50777 0.0268748
30 3000.00 1313.00 99.865216 47.6438 1.92743 12.4073 1.38888 0 11.2544 0.236241 6.21633 0 0 10.6459 2.33429 0.231554 0.177181 5.5096 0.0270988
31 3000.00 1310.00 99.867278 47.6429 1.92739 12.4071 1.38885 0 11.2541 0.236236 6.2162 0 0 10.6456 2.33424 0.231549 0.177177 5.51134 0.0273071
32 3000.00 1307.00 99.869298 47.6419 1.92735 12.4068 1.38882 0 11.2539 0.236232 6.21608 0 0 10.6454 2.33419 0.231544 0.177174 5.51305 0.027511
33 3000.00 1304.00 99.871292 47.6409 1.92731 12.4066 1.38879 0 11.2537 0.236227 6.21595 0 0 10.6452 2.33415 0.23154 0.17717 5.51473 0.0277132
34 3000.00 1301.00 99.873267 47.64 1.92727 12.4063 1.38876 0 11.2535 0.236222 6.21583 0 0 10.645 2.3341 0.231535 0.177167 5.5164 0.0279148
35 3000.00 1298.00 99.875227 47.6391 1.92723 12.4061 1.38874 0 11.2532 0.236217 6.21571 0 0 10.6448 2.33405 0.231531 0.177163 5.51805 0.0281165
36 3000.00 1295.00 99.877174 47.6381 1.9272 12.4059 1.38871 0 11.253 0.236213 6.21559 0 0 10.6446 2.33401 0.231526 0.17716 5.51969 0.0283186
37 3000.00 1292.00 99.879109 47.6372 1.92716 12.4056 1.38868 0 11.2528 0.236208 6.21547 0 0 10.6444 2.33396 0.231522 0.177156 5.52132 0.0285212
38 3000.00 1289.00 99.881033 47.6363 1.92712 12.4054 1.38866 0 11.2526 0.236204 6.21535 0 0 10.6442 2.33392 0.231517 0.177153 5.52293 0.0287247
39 3000.00 1286.00 99.882946 47.6354 1.92709 12.4051 1.38863 0 11.2524 0.236199 6.21523 0 0 10.644 2.33387 0.231513 0.177149 5.52454 0.0289289
40 3000.00 1283.00 99.884849 47.6345 1.92705 12.4049 1.3886 0 11.2521 0.236195 6.21511 0 0 10.6438 2.33383 0.231508 0.177146 5.52613 0.0291341
41 3000.00 1280.00 99.886742 47.6336 1.92701 12.4047 1.38858 0 11.2519 0.23619 6.21499 0 0 10.6436 2.33378 0.231504 0.177143 5.52771 0.0293403
42 3000.00 1277.00 99.888626 47.6327 1.92698 12.4044 1.38855 0 11.2517 0.236186 6.21487 0 0 10.6434 2.33374 0.2315 0.177139 5.52929 0.0295475
