Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 3000.00 1400.00 0.196015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 87.2622 12.7378
2 3000.00 1397.00 0.193934 0 0 0 0 0 0 0 0 0 0 0 0 0 0 87.1993 12.8007
3 3000.00 1394.00 0.191858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 87.136 12.864
4 3000.00 1391.00 0.189785 0 0 0 0 0 0 0 0 0 0 0 0 0 0 87.0725 12.9275
5 3000.00 1388.00 0.187716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 87.0086 12.9914
6 3000.00 1385.00 0.185650 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.9444 13.0556
7 3000.00 1382.00 0.183588 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.8798 13.1202
8 3000.00 1379.00 0.181529 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.815 13.185
9 3000.00 1376.00 0.179473 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.7498 13.2502
10 3000.00 1373.00 0.177421 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.6844 13.3156
11 3000.00 1370.00 0.175371 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.6186 13.3814
12 3000.00 1367.00 0.173324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.5526 13.4474
13 3000.00 1364.00 0.171280 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.4862 13.5138
14 3000.00 1361.00 0.169239 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.4196 13.5804
15 3000.00 1358.00 0.167199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.3527 13.6473
16 3000.00 1355.00 0.165161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.2855 13.7145
17 3000.00 1352.00 0.163124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.2181 13.7819
18 3000.00 1349.00 0.161088 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.1504 13.8496
19 3000.00 1346.00 0.159052 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.0825 13.9175
20 3000.00 1343.00 0.157014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86.0144 13.9856
21 3000.00 1340.00 0.154975 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85.9461 14.0539
22 3000.00 1337.00 0.152931 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85.8776 14.1224
23 3000.00 1334.00 0.150881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85.809 14.191
24 3000.00 1331.00 0.148822 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85.7403 14.2597
25 3000.00 1328.00 0.146747 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85.6716 14.3284
26 3000.00 1325.00 0.144647 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85.6031 14.3969
27 3000.00 1322.00 0.142499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85.535 14.465
28 3000.00 1319.00 0.140225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85.4687 14.5313
