System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
1 7000.00 1400.00 100.000000 1.0000000000000000 1.000000 -1127449.198933 286.873531 36.317214 147.549668 -193.640054 2863.059178 -6.575 -6.575 2.753515 0.000000 1.433 n/a n/a
2 7000.00 1397.00 100.000000 1.0000000000000000 1.000000 -1127891.845770 286.608735 36.308625 147.548224 -193.591762 2862.961662 -6.602 -6.602 2.754167 0.000000 1.443 n/a n/a
2 5000.00 1397.00 100.000000 1.0000000000000000 1.000000 -1134231.036942 287.185379 36.723483 147.562136 -221.699607 2907.658417 -6.775 -6.775 2.723053 0.000000 1.443 n/a n/a
3 3000.00 1394.00 100.000000 1.0000000000000000 1.000000 -1141082.624112 287.508138 37.188227 147.580981 -252.286944 2977.207097 -6.980 -6.980 2.689023 0.000000 1.454 n/a n/a
3 1000.00 1394.00 100.000000 1.0000000000000000 1.000000 -1147565.110454 288.112637 37.725643 147.606735 -285.562954 3071.964369 -7.162 -7.162 2.650717 0.000000 1.454 n/a n/a
4 3000.00 1391.00 100.000000 1.0000000000000000 1.000000 -1141525.365788 287.242331 37.179295 147.580136 -252.163640 2976.999864 -7.008 -7.008 2.689669 0.000000 1.464 n/a n/a
5 5000.00 1388.00 100.000000 1.0000000000000000 1.000000 -1135559.080811 286.388065 36.697316 147.558728 -221.442446 2907.192464 -6.857 -6.857 2.724995 0.000000 1.474 n/a n/a
6 3000.00 1385.00 100.000000 1.0000000000000000 1.000000 -1142410.841538 286.709280 37.161435 147.578449 -251.917264 2976.576569 -7.063 -7.063 2.690962 0.000000 1.484 n/a n/a
7 5000.00 1382.00 100.000000 1.0000000000000000 1.000000 -1136444.426394 285.854128 36.679874 147.556468 -221.271394 2906.867113 -6.911 -6.911 2.726291 0.000000 1.495 n/a n/a
8 1000.00 1379.00 100.000000 1.0000000000000000 1.000000 -1149779.190291 286.778564 37.679573 147.603910 -284.759287 3070.639196 -7.301 -7.301 2.653958 0.000000 1.505 n/a n/a
8 5000.00 1379.00 100.000000 1.0000000000000000 1.000000 -1136887.094109 285.586437 36.671153 147.555342 -221.185985 2906.700024 -6.939 -6.939 2.726939 0.000000 1.505 n/a n/a
9 3000.00 1376.00 100.000000 1.0000000000000000 1.000000 -1143739.036227 285.906089 37.134648 147.575929 -251.548284 2975.919554 -7.146 -7.146 2.692903 0.000000 1.515 n/a n/a
10 5000.00 1373.00 100.000000 1.0000000000000000 1.000000 -1137772.419425 285.049599 36.653714 147.553098 -221.015401 2906.357016 -6.995 -6.995 2.728236 0.000000 1.526 n/a n/a
11 3000.00 1370.00 100.000000 1.0000000000000000 1.000000 -1144624.486775 285.368196 37.116794 147.574255 -251.302686 2975.466829 -7.202 -7.202 2.694198 0.000000 1.536 n/a n/a
12 5000.00 1367.00 100.000000 1.0000000000000000 1.000000 -1138657.731305 284.510809 36.636277 147.550864 -220.845128 2906.002236 -7.051 -7.051 2.729535 0.000000 1.547 n/a n/a
13 5000.00 1364.00 100.000000 1.0000000000000000 1.000000 -1139100.382225 284.240678 36.627559 147.549750 -220.760108 2905.820431 -7.079 -7.079 2.730185 0.000000 1.557 n/a n/a
14 5000.00 1361.00 100.000000 1.0000000000000000 1.000000 -1139543.029809 283.970053 36.618842 147.548639 -220.675167 2905.635684 -7.107 -7.107 2.730835 0.000000 1.568 n/a n/a
15 1000.00 1358.00 100.000000 1.0000000000000000 1.000000 -1152878.830939 284.890413 37.615110 147.599962 -283.637424 3068.660350 -7.500 -7.500 2.658506 0.000000 1.578 n/a n/a
16 1000.00 1355.00 100.000000 1.0000000000000000 1.000000 -1153321.629981 284.618699 37.605905 147.599399 -283.477469 3068.365885 -7.530 -7.530 2.659157 0.000000 1.589 n/a n/a
17 7000.00 1352.00 100.000000 1.0000000000000000 1.000000 -1134531.035240 282.578996 36.179830 147.527002 -192.876728 2861.145761 -7.016 -7.016 2.763971 0.000000 1.599 n/a n/a
18 3000.00 1349.00 100.000000 1.0000000000000000 1.000000 -1147723.484953 283.470030 37.054327 147.568439 -250.445549 2973.789588 -7.403 -7.403 2.698740 0.000000 1.610 n/a n/a
18 5000.00 1349.00 100.000000 1.0000000000000000 1.000000 -1141313.586931 282.882582 36.583979 147.544221 -220.336178 2904.867264 -7.222 -7.222 2.733437 0.000000 1.610 n/a n/a
19 5000.00 1346.00 100.000000 1.0000000000000000 1.000000 -1141756.217945 282.609463 36.575265 147.543122 -220.251626 2904.667802 -7.251 -7.251 2.734088 0.000000 1.621 n/a n/a
20 5000.00 1343.00 100.000000 1.0000000000000000 1.000000 -1142198.845668 282.335839 36.566551 147.542026 -220.167152 2904.465396 -7.280 -7.280 2.734740 0.000000 1.632 n/a n/a
21 5000.00 1340.00 100.000000 1.0000000000000000 1.000000 -1142641.470106 282.061708 36.557838 147.540933 -220.082755 2904.260048 -7.309 -7.309 2.735392 0.000000 1.643 n/a n/a
22 1000.00 1337.00 100.000000 1.0000000000000000 1.000000 -1155978.388749 282.977847 37.550690 147.596021 -282.519377 3066.537297 -7.706 -7.706 2.663067 0.000000 1.653 n/a n/a
23 5000.00 1334.00 100.000000 1.0000000000000000 1.000000 -1143526.709160 281.511921 36.540414 147.538753 -219.914195 2903.840522 -7.368 -7.368 2.736696 0.000000 1.664 n/a n/a
