,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
0,,0.001,1473,49.1,2.97,16.6,7.63,4.3,9.8,4.28,1.3,,,1553.0,,,,,,,,,1199.85
1,,0.001,1473,49.1,0.93,14.4,8.88,8.5,12.4,2.41,0.0,,,1813.0,,,,,,,,,1199.85
2,,0.001,1473,43.2,2.93,14.3,8.41,7.7,14.4,2.58,0.45,,,4094.0,,,,,,,,,1199.85
3,,0.001,1473,47.2,2.55,12.1,9.3,10.4,10.7,2.92,0.58,,,2567.0,,,,,,,,,1199.85
4,,0.001,1473,57.7,1.64,20.7,4.88,2.0,4.6,6.03,2.62,,,726.0,,,,,,,,,1199.85
5,,0.001,1523,47.0,5.35,13.0,11.07,8.04,11.0,1.68,0.0,,,503.0,,,,,,,,,1249.85
6,,0.001,1523,50.1,0.92,14.8,9.1,8.7,12.3,2.09,0.0,,,823.0,,,,,,,,,1249.85
7,,0.001,1523,43.3,2.75,14.6,9.81,8.1,13.8,2.51,0.47,,,1910.0,,,,,,,,,1249.85
8,,0.001,1523,55.3,0.62,14.4,5.94,8.9,9.5,3.01,1.47,,,535.0,,,,,,,,,1249.85
9,,0.001,1523,62.2,0.61,18.0,3.53,3.3,6.6,4.83,1.25,,,93.6,,,,,,,,,1249.85
10,,0.001,1523,46.1,2.41,11.7,10.88,12.2,10.1,2.95,0.49,,,1306.0,,,,,,,,,1249.85
11,,0.001,1523,57.5,1.66,21.5,4.9,2.0,4.6,5.34,2.42,,,493.0,,,,,,,,,1249.85
12,,0.001,1523,43.4,0.0,11.6,10.67,12.1,19.9,0.56,0.0,,,3170.0,,,,,,,,,1249.85
13,,0.001,1573,48.5,3.6,16.9,10.77,4.5,9.6,3.39,0.29,,,229.0,,,,,,,,,1299.85
14,,0.001,1573,42.9,7.44,12.0,15.14,7.7,10.0,2.0,0.0,,,223.0,,,,,,,,,1299.85
15,,0.001,1573,49.5,0.93,14.7,9.1,8.8,12.2,2.49,0.0,,,448.0,,,,,,,,,1299.85
16,,0.001,1573,41.4,2.93,14.4,10.68,8.3,14.3,2.33,0.22,,,824.0,,,,,,,,,1299.85
17,,0.001,1573,66.1,0.93,15.5,4.1,1.8,3.2,1.87,4.85,,,35.4,,,,,,,,,1299.85
18,,0.001,1573,54.3,0.6,14.1,6.22,9.2,9.6,3.07,1.13,,,368.0,,,,,,,,,1299.85
19,,0.001,1573,62.2,0.63,17.0,3.53,3.3,6.5,4.73,1.38,,,59.0,,,,,,,,,1299.85
20,,0.001,1573,45.7,2.45,11.5,11.7,13.5,9.7,2.09,0.0,,,453.0,,,,,,,,,1299.85
21,,0.001,1573,57.7,1.66,20.6,4.92,2.1,4.8,6.28,2.44,,,222.0,,,,,,,,,1299.85
22,,0.001,1573,42.0,0.0,10.8,11.86,14.1,18.2,0.58,0.0,,,1579.0,,,,,,,,,1299.85
23,,0.001,1573,70.2,0.32,16.4,1.09,0.3,1.1,2.47,6.93,,,13.9,,,,,,,,,1299.85
24,,0.001,1573,47.6,0.0,16.9,0.0,11.9,21.9,0.0,0.0,,,1935.0,,,,,,,,,1299.85
25,,0.001,1573,45.0,0.0,20.1,0.0,14.1,19.2,0.0,0.0,,,1522.0,,,,,,,,,1299.85
26,,0.001,1573,49.1,0.0,15.3,0.0,14.4,19.1,0.0,0.0,,,1447.0,,,,,,,,,1299.85
27,,0.001,1623,48.3,3.46,16.4,10.63,4.3,9.5,4.03,0.93,,,149.0,,,,,,,,,1349.85
28,,0.001,1623,42.7,8.39,11.1,16.89,7.0,9.3,1.68,0.0,,,64.1,,,,,,,,,1349.85
29,,0.001,1623,49.6,0.94,14.7,9.21,8.6,12.4,2.26,0.0,,,208.0,,,,,,,,,1349.85
30,,0.001,1623,42.1,2.9,14.6,10.67,8.2,14.3,2.17,0.14,,,413.0,,,,,,,,,1349.85
31,,0.001,1623,65.6,0.92,15.9,4.03,1.4,3.4,1.99,5.06,,,25.4,,,,,,,,,1349.85
32,,0.001,1623,54.3,0.58,14.4,6.43,9.0,9.6,2.88,1.1,,,172.0,,,,,,,,,1349.85
33,,0.001,1623,62.4,0.61,17.0,3.49,3.2,6.5,5.19,1.55,,,65.4,,,,,,,,,1349.85
34,,0.001,1623,45.6,2.44,11.4,11.76,13.5,9.7,2.49,0.13,,,283.0,,,,,,,,,1349.85
35,,0.001,1623,58.1,1.65,20.6,5.01,2.1,4.8,6.23,2.08,,,131.0,,,,,,,,,1349.85
36,,0.001,1623,40.5,0.0,10.6,13.39,15.0,17.4,0.64,0.0,,,876.0,,,,,,,,,1349.85
37,,0.001,1623,72.8,0.31,14.4,1.15,0.3,1.0,1.51,7.48,,,10.2,,,,,,,,,1349.85
38,,0.001,1623,48.0,0.0,16.5,0.0,11.9,21.7,0.0,0.0,,,893.0,,,,,,,,,1349.85
39,,0.001,1623,44.9,0.0,19.0,0.0,16.0,18.5,0.0,0.0,,,719.0,,,,,,,,,1349.85
40,,0.001,1623,49.4,0.0,15.3,0.0,14.3,19.2,0.0,0.0,,,714.0,,,,,,,,,1349.85
41,,0.001,1673,49.0,3.58,17.0,10.65,4.5,9.6,3.79,0.24,,,59.1,,,,,,,,,1399.85
42,,0.001,1673,41.2,8.66,11.5,17.03,7.3,9.1,2.04,0.0,,,87.0,,,,,,,,,1399.85
43,,0.001,1673,49.7,0.93,14.8,9.04,8.8,12.2,2.42,0.0,,,118.0,,,,,,,,,1399.85
44,,0.001,1673,42.8,2.97,14.8,10.47,8.3,13.6,2.17,0.11,,,198.0,,,,,,,,,1399.85
45,,0.001,1673,65.6,0.98,16.5,4.21,1.6,3.7,2.25,4.41,,,15.3,,,,,,,,,1399.85
