,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
0,,2.06,1300.15,69.66,0.42,17.89,3.35,1.01,1.36,4.78,1.53,,4.58,2290.0,,,,,,,,,1027.0
1,,2.02,1258.15,60.14,0.64,19.05,4.18,1.98,6.29,4.96,2.63,,6.88,1940.0,,,,,,,,,985.0000000000001
2,,2.02,1258.15,61.56,0.75,18.81,3.68,1.91,5.95,4.69,2.52,,6.24,1860.0,,,,,,,,,985.0000000000001
3,,1.95,1223.15,67.08,0.1,19.6,1.76,1.32,1.81,4.33,3.11,,4.95,1460.0,,,,,,,,,950.0000000000001
4,,2.2,1213.15,69.05,0.36,18.11,3.39,1.52,1.79,4.62,1.14,,5.51,1290.0,,,,,,,,,940.0000000000001
5,,1.95,1193.15,67.11,0.61,18.32,2.54,1.82,3.76,4.7,1.09,,4.29,980.0,,,,,,,,,920.0000000000001
6,,1.95,1193.15,62.94,0.77,19.99,2.34,1.86,5.3,3.18,3.18,,7.02,1150.0,,,,,,,,,920.0000000000001
7,,2.01,1143.15,69.91,0.53,17.28,1.94,1.35,2.56,4.84,1.53,,7.1,490.0,,,,,,,,,870.0000000000001
8,,2.01,1143.15,67.92,0.31,17.65,1.69,0.75,2.76,4.72,4.01,,5.16,480.0,,,,,,,,,870.0000000000001
9,,2.07,1123.15,74.23,0.26,16.3,0.76,0.86,1.19,4.63,1.71,,7.81,240.0,,,,,,,,,850.0000000000001
10,,1.16,1247.15,63.47,0.83,17.35,3.01,1.8,5.14,3.97,3.05,,5.64,1070.0,,,,,,,,,974.0000000000001
11,,2.03,1226.15,60.59,0.76,18.47,4.64,0.87,5.46,5.38,3.38,,8.41,920.0,,,,,,,,,953.0000000000001
12,,2.04,1200.15,63.17,0.68,19.08,2.28,1.11,5.1,5.22,3.22,,7.0,290.0,,,,,,,,,927.0000000000001
13,,2.04,1200.15,63.32,0.69,19.02,2.34,1.47,4.77,4.96,3.3,,6.17,290.0,,,,,,,,,927.0000000000001
14,,2.0,1073.15,70.35,0.26,15.86,1.178838,0.25,1.61,4.61,5.61,,8.91,160.20084434563213,,,,,,,,,800.0000000000001
15,,2.0,1073.15,70.59,0.19,16.1,1.105832,0.24,1.64,4.07,5.79,,8.7,160.20084434563213,,,,,,,,,800.0000000000001
16,,2.5,1073.15,69.93,0.24,16.22,1.08485,0.24,1.86,4.46,5.68,,9.9,160.20084434563213,,,,,,,,,800.0000000000001
17,,2.5,1073.15,69.91,0.26,16.35,1.160822,0.32,1.98,4.44,5.27,,10.24,280.35147760485626,,,,,,,,,800.0000000000001
18,,4.0,1073.15,67.3,0.19,17.89,1.232826,0.38,2.71,5.31,4.63,,10.81,480.6025330368963,,,,,,,,,800.0000000000001
19,,4.0,1073.15,67.24,0.1,17.74,1.177816,0.38,2.7,5.66,4.62,,8.3,520.6527441233045,,,,,,,,,800.0000000000001
20,,2.0,1123.15,67.37,0.48,17.22,1.571784,0.46,2.62,4.72,5.2,,5.99,400.50211086408035,,,,,,,,,850.0000000000001
21,,2.0,1123.15,67.87,0.25,17.32,1.4667739999999998,0.8,2.37,4.65,4.9,,5.99,400.50211086408035,,,,,,,,,850.0000000000001
22,,4.0,1123.15,64.47,0.28,19.26,1.7847500000000003,0.65,4.18,4.89,3.99,,8.19,760.9540106417526,,,,,,,,,850.0000000000001
23,,4.0,1123.15,64.47,0.24,19.2,1.651744,0.69,4.23,5.03,3.98,,8.22,801.0042217281607,,,,,,,,,850.0000000000001
24,,1.0,1173.15,66.95,0.63,17.18,1.776754,0.54,2.06,5.23,5.28,,4.17,440.5523219504883,,,,,,,,,900.0000000000001
25,,1.0,1173.15,69.01,0.52,17.33,1.72974,0.58,1.96,3.98,4.48,,4.13,360.4518997776723,,,,,,,,,900.0000000000001
26,,2.0,1173.15,64.14,0.54,18.46,2.188698,0.96,3.96,5.01,4.17,,6.05,881.1046439009766,,,,,,,,,900.0000000000001
27,,2.0,1173.15,64.84,0.48,18.27,1.9376959999999999,0.96,3.71,4.97,4.32,,6.05,680.8535884689367,,,,,,,,,900.0000000000001
28,,4.0,1173.15,61.98,0.29,19.99,2.143668,0.83,6.45,4.52,3.04,,8.21,1561.9582323699133,,,,,,,,,900.0000000000001
29,,2.0,1223.15,60.83,0.61,19.13,2.956594,1.43,6.41,4.48,3.29,,5.98,1642.058654542729,,,,,,,,,950.0000000000001
30,,2.0,1223.15,60.74,0.65,19.05,3.0035279999999998,1.42,6.54,4.56,3.19,,5.98,1561.9582323699133,,,,,,,,,950.0000000000001
31,,4.0,1223.15,59.84,0.63,18.93,2.668618,0.3,9.65,4.63,2.08,,8.03,3484.368364517499,,,,,,,,,950.0000000000001
32,,4.0,1223.15,59.82,0.44,19.62,2.5745899999999997,0.44,8.92,4.76,2.28,,8.09,3043.8160425670103,,,,,,,,,950.0000000000001
33,,4.0,1273.15,58.63,0.57,19.27,2.920582,0.32,10.15,4.36,2.01,,8.02,5366.728285578677,,,,,,,,,1000.0000000000001
34,,2.0,1073.15,73.46,0.22,14.94,1.175852,0.93,2.35,4.32,2.4,,5.81,160.20084434563213,,,,,,,,,800.0000000000001
35,,2.0,1073.15,74.42,0.15,15.25,1.036854,0.9,1.96,4.02,2.05,,5.84,280.35147760485626,,,,,,,,,800.0000000000001
36,,2.5,1073.15,73.86,0.2,15.95,1.08485,0.85,2.2,3.83,1.81,,6.43,240.30126651844816,,,,,,,,,800.0000000000001
37,,4.0,1073.15,69.98,0.17,17.71,1.172846,0.82,2.82,5.23,1.8,,8.12,480.6025330368963,,,,,,,,,800.0000000000001
38,,2.0,1123.15,71.8,0.22,16.61,1.382826,0.69,2.16,4.74,2.16,,5.91,360.4518997776723,,,,,,,,,850.0000000000001
39,,2.0,1123.15,72.34,0.17,16.66,1.268818,0.65,2.27,4.28,2.12,,5.88,360.4518997776723,,,,,,,,,850.0000000000001
40,,4.0,1123.15,67.51,0.22,19.45,1.445812,0.7,4.04,4.93,1.31,,8.13,760.9540106417526,,,,,,,,,850.0000000000001
41,,4.0,1123.15,67.94,0.19,19.33,1.445792,0.78,4.22,4.43,1.3,,8.07,680.8535884689367,,,,,,,,,850.0000000000001
42,,2.0,1173.15,68.47,0.21,18.24,1.7867739999999999,0.89,3.58,4.73,1.67,,5.96,841.0544328145686,,,,,,,,,900.0000000000001
43,,2.0,1173.15,65.04,0.24,17.88,1.7617440000000002,3.98,5.3,3.97,1.47,,5.91,520.6527441233045,,,,,,,,,900.0000000000001
44,,4.0,1173.15,64.57,0.26,20.5,1.781764,0.62,5.11,5.33,1.22,,8.15,1521.9080212835051,,,,,,,,,900.0000000000001
45,,4.0,1173.15,65.59,0.28,19.49,1.8537280000000003,1.0,5.68,4.48,1.05,,7.95,1361.7071769378733,,,,,,,,,900.0000000000001
46,,2.0,1223.15,64.6,0.27,19.59,2.341704,1.59,5.29,4.41,1.22,,5.93,1642.058654542729,,,,,,,,,950.0000000000001
47,,2.0,1223.15,64.29,0.28,18.97,2.4286380000000003,2.0,5.56,4.54,1.27,,5.89,1521.9080212835051,,,,,,,,,950.0000000000001
48,,4.0,1223.15,63.05,0.38,20.31,2.128718,0.8,6.38,4.69,1.06,,8.05,3524.4185756039064,,,,,,,,,950.0000000000001
49,,4.0,1223.15,63.65,0.36,20.49,1.7017440000000001,0.57,6.2,4.87,1.19,,8.02,2883.6151982213783,,,,,,,,,950.0000000000001
50,,2.0,1273.15,59.71,0.62,21.54,2.4976760000000002,0.9,7.7,4.34,1.07,,5.96,4926.175963628188,,,,,,,,,1000.0000000000001
51,,2.0,1273.15,60.67,0.67,21.11,2.2776560000000003,1.11,7.06,4.61,1.07,,5.99,4565.724063850515,,,,,,,,,1000.0000000000001
52,,4.0,1273.15,60.66,0.42,20.49,1.82475,0.36,8.42,4.77,1.12,,7.99,6728.435462516549,,,,,,,,,1000.0000000000001
53,,2.0,1073.15,69.51,0.03,16.54,1.22483,0.34,1.52,4.9,5.78,,6.05,120.15063325922408,,,,,,,,,800.0000000000001
54,,2.0,1073.15,70.32,0.01,16.35,1.290802,0.27,1.34,4.33,5.92,,6.0,200.25105543204018,,,,,,,,,800.0000000000001
55,,2.0,1123.15,67.83,0.02,17.68,1.505792,0.41,1.89,5.21,5.21,,6.06,400.50211086408035,,,,,,,,,850.0000000000001
56,,2.0,1123.15,68.39,0.0,17.52,1.521764,0.4,1.79,4.9,5.27,,6.04,360.4518997776723,,,,,,,,,850.0000000000001
57,,10.0,1573.15,42.3,0.57,15.1,8.2,13.5,13.1,1.8,,,,21667.164197746748,,,,,,,,,1300.0
58,,10.0,1573.15,44.6,0.45,13.9,7.5,18.0,8.9,1.46,,,,20065.15575429042,,,,,,,,,1300.0
59,,10.0,1573.15,44.1,0.45,14.0,7.8,17.8,8.7,1.53,,,,21506.96335340111,,,,,,,,,1300.0
60,,10.0,1573.15,45.1,0.49,14.7,7.8,16.9,9.3,1.59,,,,15899.933801303989,,,,,,,,,1300.0
61,,10.0,1573.15,44.6,0.45,13.9,7.5,18.0,9.0,1.46,,,,20265.406809722463,,,,,,,,,1300.0
62,,10.0,1573.15,42.5,0.56,14.7,8.3,14.9,12.4,1.75,,,,19624.603432339936,,,,,,,,,1300.0
63,,10.0,1573.15,42.8,0.56,14.8,11.9,15.0,9.1,1.76,,,,15980.034223476805,,,,,,,,,1300.0
64,,10.0,1573.15,45.6,0.54,15.3,8.2,16.3,9.6,1.73,,,,9932.452349429192,,,,,,,,,1300.0
65,,1.52,1076.15,77.43,,12.2,0.56,0.05,0.09,4.51,4.55,,5.0,462.0,,,,,,,,,803.0000000000001
66,,1.52,1079.15,77.43,,12.16,0.87,0.03,0.03,4.53,4.67,,5.5,633.0,,,,,,,,,806.0000000000001
67,,1.5,1081.15,77.33,,12.19,0.78,0.02,0.01,4.55,4.82,,6.0,303.0,,,,,,,,,808.0000000000001
68,,1.52,1076.15,75.43,,10.53,2.67,0.02,0.03,5.67,4.33,,5.5,452.0,,,,,,,,,803.0000000000001
69,,1.52,1079.15,76.51,,10.73,1.58,0.0,0.02,5.65,4.2,,6.0,487.0,,,,,,,,,806.0000000000001
70,,1.5,1081.15,76.53,,10.86,1.49,0.01,0.0,5.67,4.24,,6.0,550.0,,,,,,,,,808.0000000000001
71,,1.52,1076.15,75.37,,8.45,4.68,0.02,0.05,6.47,4.03,,5.5,549.0,,,,,,,,,803.0000000000001
72,,1.52,1079.15,75.65,,8.46,4.43,0.02,0.02,6.46,4.05,,6.0,368.0,,,,,,,,,806.0000000000001
73,,1.5,1081.15,75.6,,8.5,4.51,0.01,0.04,6.47,3.95,,6.0,434.0,,,,,,,,,808.0000000000001
74,,2.0,1148.15,70.7,0.29,17.21,0.82,1.37,2.36,4.6,2.89,,6.0,381.0,,,,,,,,,875.0000000000001
75,,2.0,1148.15,70.9,0.36,16.4,0.87,1.21,2.71,4.65,3.13,,6.1,377.0,,,,,,,,,875.0000000000001
76,,2.0,1148.15,70.9,0.29,16.45,1.21,0.93,2.78,4.51,3.21,,6.0,333.0,,,,,,,,,875.0000000000001
77,,2.0,1073.15,75.3,0.11,15.17,0.77,0.67,1.36,4.0,3.08,,6.0,150.0,,,,,,,,,800.0000000000001
78,,2.0,1098.15,74.0,0.31,15.78,0.92,0.47,1.92,3.71,3.37,,9.4,270.0,,,,,,,,,825.0000000000001
79,,2.08,1123.15,73.5,0.38,16.94,0.4,0.85,1.92,3.71,2.78,,10.6,308.0,,,,,,,,,850.0000000000001
80,,2.08,1123.15,73.5,0.29,16.37,0.57,0.98,1.85,4.1,2.84,,8.6,267.0,,,,,,,,,850.0000000000001
81,,2.08,1123.15,73.6,0.2,16.33,0.75,0.91,2.05,3.83,2.77,,9.5,286.0,,,,,,,,,850.0000000000001
82,,20.0,1323.15,61.87,1.02,16.84,3.78,2.57,5.85,6.92,1.09,,5.27,2625.0,,,,,,,,,1050.0
83,,20.0,1223.15,70.03,0.31,14.08,1.67,0.69,1.6,9.92,1.68,,4.71,666.0,,,,,,,,,950.0000000000001
84,,30.0,1323.15,66.38,1.04,13.51,3.41,1.74,4.04,8.27,1.55,,5.36,2899.0,,,,,,,,,1050.0
85,,30.0,1223.15,72.49,0.37,13.05,1.76,0.48,1.43,8.2,2.23,,4.41,1507.0,,,,,,,,,950.0000000000001
86,,20.0,1523.15,47.27209563359711,0.7929817340433666,15.808751686266218,9.070483803820094,5.3242115259895035,12.90115199477387,1.9845311920309108,0.4124449042899367,,4.184866698826481,8175.318012310102,,,,,,,,,1250.0
87,,20.0,1548.15,47.5383284881778,0.7341259027465707,16.142131875296286,8.697114193135064,5.465890756224748,12.615468780367916,2.0321888345815564,0.42284993866002224,,4.144176198443312,8061.531574461498,,,,,,,,,1275.0
88,,20.0,1598.15,47.30780266852493,0.7617183496956403,15.6171220102068,9.613453300813674,4.973560697669652,12.707671496792441,2.1152466643438337,0.42825521100202907,,4.129860015166732,8563.543013239156,,,,,,,,,1325.0
89,,30.0,1573.15,49.57986707490106,1.0332312747367633,14.181465163169293,7.264132626390859,4.249122544992906,12.739302516615636,2.300201627959077,0.6024942125308044,,4.213277574490331,14893.139506077026,,,,,,,,,1300.0
90,,15.0,1573.15,47.68365560067313,0.6510592850170976,15.416416520300938,7.701705549373966,5.841010692032931,12.525534634488539,1.9743280860617354,0.3623126529614921,,4.2353009178674785,13682.041605552666,,,,,,,,,1300.0
91,,25.0,1573.15,49.867496931237724,0.8511873946831585,15.321959725519928,7.809248376892403,4.183782562977455,12.087476956785082,2.2348802046134826,0.46504397459343483,,4.137146175742919,11573.881415365518,,,,,,,,,1300.0
92,,10.0,1573.15,47.707532593989754,0.7779833043259381,15.10542849525311,7.961660558829813,5.534478504443844,13.013749670872324,1.8267206960450038,0.3053642429069881,,4.004179714474497,14309.781664571945,,,,,,,,,1300.0
93,,15.0,1523.15,51.0328006558107,0.8167272212045462,15.373093544110356,7.089435172909352,6.664372678602152,10.48689896669332,1.9148053314981432,0.3592790130453704,,4.07857583823336,8066.058766099443,,,,,,,,,1250.0
94,,20.0,1573.15,49.788144437486956,0.42579837194740133,15.548945940304737,7.872051763723648,6.038405343352117,9.720308912544354,1.7772907534961386,0.3339595074097266,,4.205802546441244,16677.138617696517,,,,,,,,,1300.0
95,,20.0,1523.15,52.76626364382645,0.3303908949944766,16.052335539317532,8.024647566154188,5.591308489829839,8.359092337160867,2.166796728522058,0.39119903517750904,,4.084280082293683,8430.469786104273,,,,,,,,,1250.0
96,,20.0,1548.15,51.76895379885104,0.40456347600938586,15.436119427138117,8.68800064730156,5.894489845456752,8.725422768832429,2.122946840359252,0.38332389351889307,,4.0759770207945625,9531.328049024809,,,,,,,,,1275.0
97,,25.0,1473.15,56.768003994537594,0.3726831381183564,15.442286752452974,7.493818693714019,3.5319171975671826,7.767691169304627,2.534485973999411,0.5072882263410879,,4.242692222081853,4950.047746576989,,,,,,,,,1200.0
