,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
0,B-4,2.89,1323.15,44.58,4.54,12.84,13.11,5.47,9.48,2.58,0.57,0.64,,,-10.260195681653789,,,,,,,,1050.0
1,B-11,3.12,1323.15,44.22,4.67,12.94,12.97,5.43,9.37,2.61,0.59,0.59,,,-10.04431403388357,,,,,,,,1050.0
2,B-12,3.12,1323.15,43.86,4.69,12.77,14.29,5.57,9.47,2.59,0.57,0.59,,,-10.04431403388357,,,,,,,,1050.0
3,B-13,3.12,1323.15,43.82,4.63,12.74,14.36,5.43,9.51,2.54,0.59,0.58,,,-10.04431403388357,,,,,,,,1050.0
4,B-16,2.99,1323.15,46.55,3.55,14.74,12.97,4.26,8.83,3.16,0.65,0.64,,,-10.253290617405867,,,,,,,,1050.0
5,B-17,2.99,1323.15,47.48,3.72,14.71,12.71,4.39,8.97,2.99,0.66,0.65,,,-10.253290617405867,,,,,,,,1050.0
6,B-18,2.99,1323.15,47.83,3.71,14.94,11.46,4.52,8.9,3.26,0.66,0.67,,,-10.253290617405867,,,,,,,,1050.0
7,HK-3,2.99,1323.15,51.44,1.98,13.66,10.43,2.89,6.49,3.69,1.15,1.11,,,-9.853290617405866,,,,,,,,1050.0
8,HK-4,2.99,1323.15,50.07,2.06,13.42,10.11,2.79,6.68,3.71,1.17,1.11,,,-9.853290617405866,,,,,,,,1050.0
9,HK-5,2.99,1323.15,52.44,2.06,14.05,9.4,2.9,6.53,3.76,1.12,1.11,,,-9.853290617405866,,,,,,,,1050.0
10,HK-6,3.12,1323.15,51.26,2.08,13.68,10.57,2.9,6.72,3.54,1.12,1.14,,,-10.04431403388357,,,,,,,,1050.0
11,HK-7,3.12,1323.15,51.76,2.07,13.94,9.99,2.92,6.69,3.64,1.19,1.15,,,-10.04431403388357,,,,,,,,1050.0
12,HK-13,3.04,1323.15,53.45,2.16,14.5,9.96,3.11,6.88,3.88,1.23,1.15,,,-10.549838085281907,,,,,,,,1050.0
13,HK-14,3.04,1323.15,53.54,2.19,14.4,9.11,3.1,6.94,3.8,1.23,1.16,,,-10.449838085281907,,,,,,,,1050.0
14,HK-15,3.04,1323.15,53.25,2.24,14.37,8.63,3.08,7.02,3.78,1.2,1.17,,,-10.349838085281906,,,,,,,,1050.0
15,HK-32,2.97,1323.15,52.53,2.16,14.26,10.91,3.05,6.67,4.0,1.19,1.02,,,-9.954671630255453,,,,,,,,1050.0
16,HK-33,2.97,1323.15,53.63,2.18,14.4,9.93,3.15,6.96,4.04,1.21,1.05,,,-9.854671630255451,,,,,,,,1050.0
