,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
0,B150502,,1673.15,48.82,,15.17,,10.65,22.44,3.9,,,,2630.0,,,,,,,,,1400.0
1,B150502,,1673.15,49.49,,6.09,,4.27,36.49,2.25,,,,7955.0,,,,,,,,,1400.0
2,B150502,,1673.15,52.5,,9.3,,19.38,14.1,4.58,,,,1625.0,,,,,,,,,1400.0
3,B150502,,1673.15,64.11,,8.45,,5.88,12.99,7.57,,,,958.0,,,,,,,,,1400.0
4,B031201,,1773.15,49.69,,15.28,,10.64,22.94,1.79,,,,258.0,,,,,,,,,1500.0
5,B031201,,1773.15,50.19,,6.18,,4.36,36.93,1.03,,,,1256.0,,,,,,,,,1500.0
6,B031201,,1773.15,53.41,,9.27,,22.36,13.93,1.64,,,,144.0,,,,,,,,,1500.0
7,B031201,,1773.15,67.79,,8.92,,6.18,13.55,2.22,,,,47.0,,,,,,,,,1500.0
8,B031201,,1773.15,48.29,,13.05,,17.53,19.64,1.42,,,,276.0,,,,,,,,,1500.0
9,B201101,,1773.15,50.11,,15.56,,10.96,23.5,0.13,,,,167.0,,,,,,,,,1500.0
10,B201101,,1773.15,50.7,,6.32,,4.39,37.71,0.07,,,,1030.0,,,,,,,,,1500.0
11,B201101,,1773.15,54.44,,9.53,,22.72,14.31,0.16,,,,93.0,,,,,,,,,1500.0
12,B201101,,1773.15,67.97,,9.16,,6.32,14.05,0.14,,,,24.0,,,,,,,,,1500.0
13,B201101,,1773.15,49.78,,13.63,,18.32,19.83,0.09,,,,184.0,,,,,,,,,1500.0
14,B281101,,1773.15,54.35,,14.88,,11.86,15.19,3.68,,,,139.0,,,,,,,,,1500.0
